row_label_raw,row_label_full,Tài sản,Giá trị ghi sổ tại ngày mua (VND),Giá trị hợp lý ghi nhận tại ngày mua (VND),Chênh lệch tài sản thuần (VND),numeric__Giá trị ghi sổ tại ngày mua (VND),numeric__Giá trị hợp lý ghi nhận tại ngày mua (VND),numeric__Chênh lệch tài sản thuần (VND)
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,85.972.114.115,85.972.114.115,,85972114115.0,85972114115.0,
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,,,,,,
Các khoản phải thu ngắn hạn,Đầu tư tài chính ngắn hạn > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,783.809.854.857,783.809.854.857,,783809854857.0,783809854857.0,
Hàng tồn kho,Đầu tư tài chính ngắn hạn > Hàng tồn kho,Hàng tồn kho,1.126.782.814,1.126.782.814,,1126782814.0,1126782814.0,
Tài sản ngắn hạn khác,Đầu tư tài chính ngắn hạn > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,154.526.575.944,154.526.575.944,,154526575944.0,154526575944.0,
Các khoản phải thu dài hạn,Đầu tư tài chính ngắn hạn > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,45.000.000,45.000.000,,45000000.0,45000000.0,
Tài sản cố định,Đầu tư tài chính ngắn hạn > Tài sản cố định,Tài sản cố định,10.926.240.480.121,11.302.158.443.140,375.917.963.019,10926240480121.0,11302158443140.0,375917963019.0
Tài sản dở dang dài hạn,Đầu tư tài chính ngắn hạn > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,3.681.894.066.424,3.811.613.084.526,129.719.018.102,3681894066424.0,3811613084526.0,129719018102.0
Đầu tư tài chính dài hạn,Đầu tư tài chính ngắn hạn > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,30.500.000.000,34.976.400.844,4.476.400.844,30500000000.0,34976400844.0,4476400844.0
Tài sản dài hạn khác,Đầu tư tài chính ngắn hạn > Tài sản dài hạn khác,Tài sản dài hạn khác,6.096.184.706,9.803.319.244,3.707.134.538,6096184706.0,9803319244.0,3707134538.0
,,,15.670.211.058.981,16.184.031.575.484,513.820.516.503,15670211058981.0,16184031575484.0,513820516503.0
Nợ phải trả,Đầu tư tài chính ngắn hạn > Nợ phải trả,Nợ phải trả,(11.148.680.157.992),(11.148.680.157.992),,-11148680157992.0,-11148680157992.0,
Nguồn kinh phí và quỹ khác,Đầu tư tài chính ngắn hạn > Nguồn kinh phí và quỹ khác,Nguồn kinh phí và quỹ khác,(3.452.924.767.484),(3.452.924.767.484),,-3452924767484.0,-3452924767484.0,
Tài sản thuần,Đầu tư tài chính ngắn hạn > Tài sản thuần,Tài sản thuần,1.068.606.133.505,1.582.426.650.008,513.820.516.503,1068606133505.0,1582426650008.0,513820516503.0
