row_label_raw,row_label_full,13 . PHẢI TRẢ NGƯỜI BÁN ( Tiếp theo),31/12/2019 > Giá trị,31/12/2019 > Số có khả năng trả nợ,Đơn vị tính: VND01/01/2019 > Giá trị,Đơn vị tính: VND01/01/2019 > Số có khả năng trả nợ,numeric__31/12/2019 > Giá trị,numeric__31/12/2019 > Số có khả năng trả nợ,numeric__Đơn vị tính: VND01/01/2019 > Giá trị,numeric__Đơn vị tính: VND01/01/2019 > Số có khả năng trả nợ
Công ty TNHH Xây dựng Mỹ Đà,Công ty TNHH Xây dựng Mỹ Đà,Công ty TNHH Xây dựng Mỹ Đà,45.637.546.215,45.637.546.215,,,45637546215.0,45637546215.0,,
Công ty CP LICOGI 16,Công ty CP LICOGI 16,Công ty CP LICOGI 16,174.652.263.062,174.652.263.062,,,174652263062.0,174652263062.0,,
Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,565.582.467.005,565.582.467.005,27.902.735.011,27.902.735.011,565582467005.0,565582467005.0,27902735011.0,27902735011.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,,,,,
Cộng,b) Dài hạn > Cộng,Cộng,1.097.329.726.551,1.097.329.726.551,52.118.095.808,52.118.095.808,1097329726551.0,1097329726551.0,52118095808.0,52118095808.0
14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC,,,,
,,,31/12/2019,01/01/2019,,,,,,
a) Ngắn hạn,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > a) Ngắn hạn,a) Ngắn hạn,13.671.606.067,34.747.474.786,,,13671606067.0,34747474786.0,,
Công ty xăng dầu Bình Định,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > Công ty xăng dầu Bình Định,Công ty xăng dầu Bình Định,3.000.000.000,,,,3000000000.0,,,
Công ty Cổ phần tập đoàn Đèo cả,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > Công ty Cổ phần tập đoàn Đèo cả,Công ty Cổ phần tập đoàn Đèo cả,,25.758.487.694,,,,25758487694.0,,
Công ty CP XD công trình Ngầm,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > Công ty CP XD công trình Ngầm,Công ty CP XD công trình Ngầm,1.495.821.371,1.495.821.371,,,1495821371.0,1495821371.0,,
Công ty cổ phần Đầu tư Đèo Cả,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > Công ty cổ phần Đầu tư Đèo Cả,Công ty cổ phần Đầu tư Đèo Cả,,1.206.476.157,,,,1206476157.0,,
Công ty CP XD và TM Nhật Thành,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > Công ty CP XD và TM Nhật Thành,Công ty CP XD và TM Nhật Thành,225.000.000,225.000.000,,,225000000.0,225000000.0,,
Công ty xăng dầu khu vực V,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > Công ty xăng dầu khu vực V,Công ty xăng dầu khu vực V,3.000.000.000,,,,3000000000.0,,,
Tổng công ty xây dựng Lũng Lô,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > Tổng công ty xây dựng Lũng Lô,Tổng công ty xây dựng Lũng Lô,2.475.005.925,2.475.005.925,,,2475005925.0,2475005925.0,,
CN Trung tâm phát triển quỹ đất số 3- TP Đà Nẵng,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > CN Trung tâm phát triển quỹ đất số 3- TP Đà Nẵng,CN Trung tâm phát triển quỹ đất số 3- TP Đà Nẵng,2.587.489.000,2.587.489.000,,,2587489000.0,2587489000.0,,
Đối tượng khác,14 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > Đối tượng khác,Đối tượng khác,888.289.771,999.194.639,,,888289771.0,999194639.0,,
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,,,,,
Cộng,b) Dài hạn > Cộng,Cộng,13.671.606.067,34.747.474.786,,,13671606067.0,34747474786.0,,
