row_label_raw,row_label_full,Chỉ tiêu,Giá trị ghi sổ tại ngày mua (VND),Giá trị hợp lý ghi nhận tại ngày hợp nhất (VND),Chênh lệch,numeric__Giá trị ghi sổ tại ngày mua (VND),numeric__Giá trị hợp lý ghi nhận tại ngày hợp nhất (VND),numeric__Chênh lệch
Tài sản,Tài sản,Tài sản,424.646.973.294,424.679.124.365,32.151.071,424646973294.0,424679124365.0,32151071.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,(1.128.696.833),(1.128.696.833),,-1128696833.0,-1128696833.0,
Tài sản thuần,Tài sản thuần,Tài sản thuần,423.518.276.461,423.550.427.532,32.151.071,423518276461.0,423550427532.0,32151071.0
Phần sở hữu trong Công ty liên kết,Phần sở hữu trong Công ty liên kết,Phần sở hữu trong Công ty liên kết,,93.899.704.205,,,93899704205.0,
Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,,94.000.000.000,,,94000000000.0,
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,,100.295.795,,,100295795.0,
