row_label_raw,row_label_full,Tên Công ty,Tỷ lệ lợi ích,Tỷ lệ quyềnbiểu quyết,Lợi nhuận sau thuế,Lợi nhuận chưa phânphối,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyềnbiểu quyết,numeric__Lợi nhuận sau thuế,numeric__Lợi nhuận chưa phânphối
- Công ty Cổ Phần BOT Bắc Giang Lạng Sơn,- Công ty Cổ Phần BOT Bắc Giang Lạng Sơn,- Công ty Cổ Phần BOT Bắc Giang Lạng Sơn,"63,40%","63,40%",(55.074.136.316),(539.224.408.168),0.634,0.634,-55074136316.0,-539224408168.0
- Công ty cổ phần Đầu tư Đẻo Cả,- Công ty cổ phần Đầu tư Đẻo Cả,- Công ty cổ phần Đầu tư Đẻo Cả,"60,12%","60,12%",(243.615.185.768),(55.074.136.316),0.6012,0.6012,-243615185768.0,-55074136316.0
- Công ty Cổ phần Phước Tượng Phú Gia BOT,- Công ty Cổ phần Phước Tượng Phú Gia BOT,- Công ty Cổ phần Phước Tượng Phú Gia BOT,"99,47%","99,47%",(21.984.406.061),(21.984.406.061),0.9947,0.9947,-21984406061.0,-21984406061.0
"- Công ty liên doanh, liên kết","- Công ty liên doanh, liên kết","- Công ty liên doanh, liên kết","- Công ty liên doanh, liên kết","- Công ty liên doanh, liên kết","- Công ty liên doanh, liên kết","- Công ty liên doanh, liên kết",,,,
Tên Công ty,Tên Công ty,Tên Công ty,Tỷ lệ lợi ích,Tỷ lệ quyềnbiểu quyết,Lợi nhuận sau thuế,Lợi nhuận chưa phânphối,,,,
- Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Tên Công ty > - Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,- Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,"21,95%","21,95%",2.156.944.213,7.989.711.819,0.2195,0.2195,2156944213.0,7989711819.0
- Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Tên Công ty > - Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,- Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,"46,01%","50,00%",47.199.390.860,54.216.985.055,0.46009999999999995,0.5,47199390860.0,54216985055.0
- Cty CP BOT Bắc Giang Lạng Sơn Hữu Nghị,Tên Công ty > - Cty CP BOT Bắc Giang Lạng Sơn Hữu Nghị,- Cty CP BOT Bắc Giang Lạng Sơn Hữu Nghị,"22,17%","22,17%",6.911.563,6.911.563,0.2217,0.2217,6911563.0,6911563.0
"Trong kỳ, Công ty có phát sinh các nghiệp vụ với các bên liên quan Các nghiệp vụ chủ yếu như sau:","Trong kỳ, Công ty có phát sinh các nghiệp vụ với các bên liên quan Các nghiệp vụ chủ yếu như sau:","Trong kỳ, Công ty có phát sinh các nghiệp vụ với các bên liên quan Các nghiệp vụ chủ yếu như sau:","Trong kỳ, Công ty có phát sinh các nghiệp vụ với các bên liên quan Các nghiệp vụ chủ yếu như sau:","Trong kỳ, Công ty có phát sinh các nghiệp vụ với các bên liên quan Các nghiệp vụ chủ yếu như sau:","Trong kỳ, Công ty có phát sinh các nghiệp vụ với các bên liên quan Các nghiệp vụ chủ yếu như sau:","Trong kỳ, Công ty có phát sinh các nghiệp vụ với các bên liên quan Các nghiệp vụ chủ yếu như sau:",,,,
Bên liên quan,Bên liên quan,Bên liên quan,Nội dung nghiệp vụ,Nội dung nghiệp vụ,Nội dung nghiệp vụ,Giá trị giao dịch (VND),,,,
+ Công ty Cổ phần BOT Bắc Giang Lạng Sơn,Bên liên quan > + Công ty Cổ phần BOT Bắc Giang Lạng Sơn,+ Công ty Cổ phần BOT Bắc Giang Lạng Sơn,- Tiền cho mượn,,,41.500.000.000,,,,41500000000.0
+ Công ty Cổ phần BOT Bắc Giang Lạng Sơn,Bên liên quan > + Công ty Cổ phần BOT Bắc Giang Lạng Sơn,+ Công ty Cổ phần BOT Bắc Giang Lạng Sơn,- Duy tu Bắc Giang-Lạng Sơn theo,,,3.690.095.454,,,,3690095454.0
+ Công ty Cổ phần BOT Bắc Giang Lạng Sơn,Bên liên quan > + Công ty Cổ phần BOT Bắc Giang Lạng Sơn,+ Công ty Cổ phần BOT Bắc Giang Lạng Sơn,HĐ 19/2019/HDBT-BGLS ngày 31/12/2018,,,2.385.556.925,,,,2385556925.0
+ Công ty Cổ phần BOT Bắc Giang Lạng Sơn,Bên liên quan > + Công ty Cổ phần BOT Bắc Giang Lạng Sơn,+ Công ty Cổ phần BOT Bắc Giang Lạng Sơn,-Phải thu,,,137.089.340.907,,,,137089340907.0
+ Công ty Cổ phần Đầu tư Đẻo cả,Bên liên quan > + Công ty Cổ phần Đầu tư Đẻo cả,+ Công ty Cổ phần Đầu tư Đẻo cả,- Thi công các công trình,,,96.266.960,,,,96266960.0
+ Công ty Cổ phần Đầu tư Đẻo cả,Bên liên quan > + Công ty Cổ phần Đầu tư Đẻo cả,+ Công ty Cổ phần Đầu tư Đẻo cả,- Số tiền bảo hành trong kỳ,,,97.994.937.849,,,,97994937849.0
+ Công ty Cổ phần Đầu tư Đẻo cả,Bên liên quan > + Công ty Cổ phần Đầu tư Đẻo cả,+ Công ty Cổ phần Đầu tư Đẻo cả,- Phải thu,,,6.017.740.445,,,,6017740445.0
+ Công ty Cổ phần Phước Tượng Phú Gia BOT,Bên liên quan > + Công ty Cổ phần Phước Tượng Phú Gia BOT,+ Công ty Cổ phần Phước Tượng Phú Gia BOT,- Doanh thu theo HĐ 308/2018/HĐ-PTPG&HMDC,,,4.839.299.850,,,,4839299850.0
+ Công ty Cổ phần Phước Tượng Phú Gia BOT,+ Công ty Cổ phần Phước Tượng Phú Gia BOT,+ Công ty Cổ phần Phước Tượng Phú Gia BOT,- Phải thu,,,,,,,
