row_label_raw,row_label_full,Năm trước,Thu phí trạm BOT,Xây dựng,Dịch vụ trung chuyển,"Vận hành, bảo dưỡng Hầm",Doanh thu khác,Tổng cộng,numeric__Thu phí trạm BOT,numeric__Xây dựng,numeric__Dịch vụ trung chuyển,"numeric__Vận hành, bảo dưỡng Hầm",numeric__Doanh thu khác,numeric__Tổng cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên,,150.313.459.014,21.274.175.001,194.719.934.689,28.391.520.104,394.699.088.808,,150313459014.0,21274175001.0,194719934689.0,28391520104.0,394699088808.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,,150.313.459.014,21.274.175.001,194.719.934.689,28.391.520.104,394.699.088.808,,150313459014.0,21274175001.0,194719934689.0,28391520104.0,394699088808.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,,,,,,33.794.707.728,,,,,,33794707728.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,(20.872.830.578),,,,,,-20872830578.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,12.921.877.150,,,,,,12921877150.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,11.369.791.786,,,,,,11369791786.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(8.574.896.989),,,,,,-8574896989.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,113.874.503,,,,,,113874503.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(849.457.552),,,,,,-849457552.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(1.806.732.249),,,,,,-1806732249.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,13.174.456.649,,,,,,13174456649.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,111.059.289,,,,,,111059289.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,21.513.249.758,,,,,,21513249758.0
a. Báo cáo chính yếu theo lĩnh vực kinh doanh,a. Báo cáo chính yếu theo lĩnh vực kinh doanh,a. Báo cáo chính yếu theo lĩnh vực kinh doanh,,,,,,,,,,,,
Năm nay,Năm nay,Năm nay,Thu phí trạm BOT,Xây dựng,Dịch vụ trung chuyển,"Vận hành, bảo dưỡng Hầm",Doanh thu khác,Tổng cộng,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,278.257.488.181,44.565.656.257,20.796.300.000,108.869.772.116,24.608.808.912,477.098.025.466,278257488181.0,44565656257.0,20796300000.0,108869772116.0,24608808912.0,477098025466.0
