row_label_raw,row_label_full,Tài sản,Giá trị ghi sổ tại ngày mua (VND),Giá trị hợp lý ghi nhận tại ngày mua (VND),Chênh lệch tài sản thuần (VND),numeric__Giá trị ghi sổ tại ngày mua (VND),numeric__Giá trị hợp lý ghi nhận tại ngày mua (VND),numeric__Chênh lệch tài sản thuần (VND)
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,589.504.307.921,589.504.307.921,,589504307921.0,589504307921.0,
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,50.000.000.000,50.000.000.000,,50000000000.0,50000000000.0,
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,62.783.275.287,62.783.275.287,,62783275287.0,62783275287.0,
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,,,,,,
Tài sản ngắn hạn khác,Hàng tồn kho > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,123.429.047.443,123.429.047.443,,123429047443.0,123429047443.0,
Các khoản phải thu dài hạn,Hàng tồn kho > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,82.701.960.765,82.701.960.765,,82701960765.0,82701960765.0,
Tài sản cố định,Hàng tồn kho > Tài sản cố định,Tài sản cố định,1.093.481.135.708,1.165.703.924.136,72.222.788.428,1093481135708.0,1165703924136.0,72222788428.0
Tài sản dở dang dài hạn,Hàng tồn kho > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,8.014.858.205.744,8.092.875.430.041,78.017.224.297,8014858205744.0,8092875430041.0,78017224297.0
Đầu tư tài chính dài hạn,Hàng tồn kho > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,15.000.000.000,15.000.000.000,,15000000000.0,15000000000.0,
Tài sản dài hạn khác,Hàng tồn kho > Tài sản dài hạn khác,Tài sản dài hạn khác,19.418.596.277,21.032.748.697,1.614.152.420,19418596277.0,21032748697.0,1614152420.0
,,,10.051.176.529.146,10.203.030.694.291,151.854.165.145,10051176529146.0,10203030694291.0,151854165145.0
Nợ phải trả,Hàng tồn kho > Nợ phải trả,Nợ phải trả,(8.832.856.994.593),(8.832.856.994.593),,-8832856994593.0,-8832856994593.0,
Tài sản thuần,Hàng tồn kho > Tài sản thuần,Tài sản thuần,1.218.319.534.552,1.370.173.699.697,151.854.165.145,1218319534552.0,1370173699697.0,151854165145.0
