row_label_raw,row_label_full,11 . CHI PHÍ TRÀ TRUỐC,11 . CHI PHÍ TRÀ TRUỐC_1,11 . CHI PHÍ TRÀ TRUỐC_2,11 . CHI PHÍ TRÀ TRUỐC_3,11 . CHI PHÍ TRÀ TRUỐC_4,11 . CHI PHÍ TRÀ TRUỐC_5,11 . CHI PHÍ TRÀ TRUỐC_6,numeric__11 . CHI PHÍ TRÀ TRUỐC_1,numeric__11 . CHI PHÍ TRÀ TRUỐC_2,numeric__11 . CHI PHÍ TRÀ TRUỐC_3,numeric__11 . CHI PHÍ TRÀ TRUỐC_4,numeric__11 . CHI PHÍ TRÀ TRUỐC_5,numeric__11 . CHI PHÍ TRÀ TRUỐC_6
,,,,,,31/12/2019,01/01/2019,,,,,,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,21.082.750.219,663.934.353,,,,,21082750219.0,663934353.0,
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",151.324.406,215.019.096,,,,,151324406.0,215019096.0,
"Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe",542.927.521,448.915.257,,,,,542927521.0,448915257.0,
Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,20.388.498.292,,,,,,20388498292.0,,
b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,26.705.049.286,5.842.644.678,,,,,26705049286.0,5842644678.0,
Chi phí dịch vụ thuê ngoài,Chi phí dịch vụ thuê ngoài,Chi phí dịch vụ thuê ngoài,Chi phí dịch vụ thuê ngoài,Chi phí dịch vụ thuê ngoài,Chi phí dịch vụ thuê ngoài,16.240.394.363,,,,,,16240394363.0,,
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",407.462.784,2.241.031.419,,,,,407462784.0,2241031419.0,
"Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe",5.714.313.765,1.899.025.899,,,,,5714313765.0,1899025899.0,
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,729.520.421,897.270.058,,,,,729520421.0,897270058.0,
Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,3.613.357.953,805.317.302,,,,,3613357953.0,805317302.0,
Cộng,Cộng,Cộng,Cộng,Cộng,Cộng,47.787.799.505,6.506.579.031,,,,,47787799505.0,6506579031.0,
12 . VAY VÀ NỘ THUÊ TÀI CHÍNH,12 . VAY VÀ NỘ THUÊ TÀI CHÍNH,12 . VAY VÀ NỘ THUÊ TÀI CHÍNH,12 . VAY VÀ NỘ THUÊ TÀI CHÍNH,12 . VAY VÀ NỘ THUÊ TÀI CHÍNH,12 . VAY VÀ NỘ THUÊ TÀI CHÍNH,12 . VAY VÀ NỘ THUÊ TÀI CHÍNH,12 . VAY VÀ NỘ THUÊ TÀI CHÍNH,12 . VAY VÀ NỘ THUÊ TÀI CHÍNH,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,31/12/2019,31/12/2019,Trong năm,Trong năm,01/01/2019,01/01/2019,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
Vay ngắn hạn - VND,a) Vay ngắn hạn > Vay ngắn hạn - VND,Vay ngắn hạn - VND,137.406.331.880,137.406.331.880,254.289.629.997,220.966.416.915,104.083.118.798,104.083.118.798,137406331880.0,137406331880.0,254289629997.0,220966416915.0,104083118798.0,104083118798.0
- NH Công Thương CN Đà Nẵng,a) Vay ngắn hạn > - NH Công Thương CN Đà Nẵng,- NH Công Thương CN Đà Nẵng,128.948.442.820,128.948.442.820,217.689.629.997,188.566.551.041,99.825.363.864,99.825.363.864,128948442820.0,128948442820.0,217689629997.0,188566551041.0,99825363864.0,99825363864.0
"- Cán bộ, công nhân viên","a) Vay ngắn hạn > - Cán bộ, công nhân viên","- Cán bộ, công nhân viên",3.857.889.060,3.857.889.060,,399.865.874,4.257.754.934,4.257.754.934,3857889060.0,3857889060.0,,399865874.0,4257754934.0,4257754934.0
- Công ty CP tập đoàn Đèo cả,a) Vay ngắn hạn > - Công ty CP tập đoàn Đèo cả,- Công ty CP tập đoàn Đèo cả,,,32.000.000.000,32.000.000.000,,,,,32000000000.0,32000000000.0,,
- Công ty Cổ Phần Tư Văn Xây Dương A2Z,a) Vay ngắn hạn > - Công ty Cổ Phần Tư Văn Xây Dương A2Z,- Công ty Cổ Phần Tư Văn Xây Dương A2Z,2.000.000.000,2.000.000.000,2.000.000.000,,,,2000000000.0,2000000000.0,2000000000.0,,,
- Công ty Cổ phần BOT Hưng Phát,a) Vay ngắn hạn > - Công ty Cổ phần BOT Hưng Phát,- Công ty Cổ phần BOT Hưng Phát,2.600.000.000,2.600.000.000,2.600.000.000,,,,2600000000.0,2600000000.0,2600000000.0,,,
Cộng,a) Vay ngắn hạn > Cộng,Cộng,137.406.331.880,137.406.331.880,254.289.629.997,220.966.416.915,104.083.118.798,104.083.118.798,137406331880.0,137406331880.0,254289629997.0,220966416915.0,104083118798.0,104083118798.0
