row_label_raw,row_label_full,"TĂNG, GIĂM TÀI SẢN CÓ ĐỊNH HỮU HÌNH","TĂNG, GIĂM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_1","TĂNG, GIĂM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_2","TĂNG, GIĂM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_3","TĂNG, GIĂM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_4","TĂNG, GIĂM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_5","numeric__TĂNG, GIĂM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_1","numeric__TĂNG, GIĂM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_2","numeric__TĂNG, GIĂM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_3","numeric__TĂNG, GIĂM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_4","numeric__TĂNG, GIĂM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_5"
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Thiết bị quản lý,Cộng,,,,,
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,
1. Số dư đầu kỳ,I. Nguyên giá > 1. Số dư đầu kỳ,1. Số dư đầu kỳ,47.577.016.606,60.047.415.061,61.069.179.942,4.293.391.505,172.987.003.114,47577016606.0,60047415061.0,61069179942.0,4293391505.0,172987003114.0
2. Số tăng trong kỳ,I. Nguyên giá > 2. Số tăng trong kỳ,2. Số tăng trong kỳ,14.963.939.475.224,668.189.338,14.488.787.181,22.927.421.516,15.002.023.873.259,14963939475224.0,668189338.0,14488787181.0,22927421516.0,15002023873259.0
- Mua trong kỳ,I. Nguyên giá > - Mua trong kỳ,- Mua trong kỳ,,52.500.000,,32.845.455,85.345.455,,52500000.0,,32845455.0,85345455.0
- Đầu tư XDCB hoàn thành,I. Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,477.984.861.709,,,,477.984.861.709,477984861709.0,,,,477984861709.0
"- Hầm Đèo Cà, Cù Mông, Hải Vân","I. Nguyên giá > - Hầm Đèo Cà, Cù Mông, Hải Vân","- Hầm Đèo Cà, Cù Mông, Hải Vân",412.963.153.703,,,,412.963.153.703,412963153703.0,,,,412963153703.0
-Cao tốc QL1 Bắc Giang Lạng Sơn,I. Nguyên giá > -Cao tốc QL1 Bắc Giang Lạng Sơn,-Cao tốc QL1 Bắc Giang Lạng Sơn,17.228.993.198,,,,17.228.993.198,17228993198.0,,,,17228993198.0
-Hạng mục hầm đường bộ Phước Tượng - Phú Gia,I. Nguyên giá > -Hạng mục hầm đường bộ Phước Tượng - Phú Gia,-Hạng mục hầm đường bộ Phước Tượng - Phú Gia,47.792.714.808,,,,47.792.714.808,47792714808.0,,,,47792714808.0
- Tăng do hợp nhất tài sản Công ty con tại ngày mua,I. Nguyên giá > - Tăng do hợp nhất tài sản Công ty con tại ngày mua,- Tăng do hợp nhất tài sản Công ty con tại ngày mua,14.485.954.613.515,615.689.338,14.488.787.181,22.894.576.061,14.523.953.666.095,14485954613515.0,615689338.0,14488787181.0,22894576061.0,14523953666095.0
"- Hạng mục Hầm Đèo Cà, Cù Mông, Hải Vân","I. Nguyên giá > - Hạng mục Hầm Đèo Cà, Cù Mông, Hải Vân","- Hạng mục Hầm Đèo Cà, Cù Mông, Hải Vân",11.831.368.365.475,3.676.449,4.058.311.037,22.208.004.090,11.857.638.357.051,11831368365475.0,3676449.0,4058311037.0,22208004090.0,11857638357051.0
-Ql1 Bắc Giang Lạng Sơn,I. Nguyên giá > -Ql1 Bắc Giang Lạng Sơn,-Ql1 Bắc Giang Lạng Sơn,1.219.111.440.009,321.235.314,9.101.458.853,266.736.598,1.228.800.870.774,1219111440009.0,321235314.0,9101458853.0,266736598.0,1228800870774.0
-Hạng mục hầm đường bộ Phước Tượng - Phú Gia,I. Nguyên giá > -Hạng mục hầm đường bộ Phước Tượng - Phú Gia,-Hạng mục hầm đường bộ Phước Tượng - Phú Gia,1.435.474.808.031,290.777.576,1.329.017.291,419.835.373,1.437.514.438.270,1435474808031.0,290777576.0,1329017291.0,419835373.0,1437514438270.0
3. Số giảm trong kỳ,I. Nguyên giá > 3. Số giảm trong kỳ,3. Số giảm trong kỳ,2.762.281.153,35.921.998.613,8.634.242.192,43.940.000,47.362.461.958,2762281153.0,35921998613.0,8634242192.0,43940000.0,47362461958.0
- Chuyển sang BĐS đầu tư,I. Nguyên giá > - Chuyển sang BĐS đầu tư,- Chuyển sang BĐS đầu tư,2.762.281.153,35.921.998.613,8.634.242.192,43.940.000,47.362.461.958,2762281153.0,35921998613.0,8634242192.0,43940000.0,47362461958.0
4. Số dư cuối kỳ,I. Nguyên giá > 4. Số dư cuối kỳ,4. Số dư cuối kỳ,15.008.754.210.677,24.793.605.786,66.923.724.931,27.176.873.021,15.127.648.414.415,15008754210677.0,24793605786.0,66923724931.0,27176873021.0,15127648414415.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,
1. Số dư đầu kỳ,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu kỳ,1. Số dư đầu kỳ,12.818.417.710,19.298.057.998,41.662.859.366,1.672.303.282,75.451.638.356,12818417710.0,19298057998.0,41662859366.0,1672303282.0,75451638356.0
2. Khấu hao trong kỳ,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong kỳ,2. Khấu hao trong kỳ,881.273.268.743,3.777.968.072,9.187.412.608,11.024.316.966,905.262.966.389,881273268743.0,3777968072.0,9187412608.0,11024316966.0,905262966389.0
- Khấu hao trong kỳ,II. Giá trị hao mòn luỹ kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,51.690.758.211,3.363.245.706,3.714.341.370,1.411.420.164,60.179.765.450,51690758211.0,3363245706.0,3714341370.0,1411420164.0,60179765450.0
- Tăng khác,II. Giá trị hao mòn luỹ kế > - Tăng khác,- Tăng khác,1.883.272.606,,76.438.449,416.802.828,2.376.513.883,1883272606.0,,76438449.0,416802828.0,2376513883.0
- Tăng do hợp nhất tài sản Công ty con tại ngày mua,II. Giá trị hao mòn luỹ kế > - Tăng do hợp nhất tài sản Công ty con tại ngày mua,- Tăng do hợp nhất tài sản Công ty con tại ngày mua,827.699.237.927,414.722.366,5.396.632.789,9.196.093.974,842.706.687.056,827699237927.0,414722366.0,5396632789.0,9196093974.0,842706687056.0
"- Hạng mục Hầm Đèo Cà, Cù Mông, Hải Vân","II. Giá trị hao mòn luỹ kế > - Hạng mục Hầm Đèo Cà, Cù Mông, Hải Vân","- Hạng mục Hầm Đèo Cà, Cù Mông, Hải Vân",546.628.284.350,,1.513.202.401,8.803.061.583,556.944.548.334,546628284350.0,,1513202401.0,8803061583.0,556944548334.0
-Cao tốc QL1 Bắc Giang Lạng Sơn,II. Giá trị hao mòn luỹ kế > -Cao tốc QL1 Bắc Giang Lạng Sơn,-Cao tốc QL1 Bắc Giang Lạng Sơn,59.646.213.252,205.631.457,3.062.477.551,182.624.377,63.096.946.637,59646213252.0,205631457.0,3062477551.0,182624377.0,63096946637.0
-Hạng mục hầm đường bộ Phước Tượng - Phú Gia,II. Giá trị hao mòn luỹ kế > -Hạng mục hầm đường bộ Phước Tượng - Phú Gia,-Hạng mục hầm đường bộ Phước Tượng - Phú Gia,221.424.740.325,209.090.909,820.952.837,210.408.014,,221424740325.0,209090909.0,820952837.0,210408014.0,
3. Giảm trong kỳ,II. Giá trị hao mòn luỹ kế > 3. Giảm trong kỳ,3. Giảm trong kỳ,383.650.125,6.797.923.645,2.799.685.582,16.442.066,9.997.701.418,383650125.0,6797923645.0,2799685582.0,16442066.0,9997701418.0
"- Thanh lý, nhượng bán","II. Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",383.650.125,6.797.923.645,2.799.685.582,16.442.066,9.997.701.418,383650125.0,6797923645.0,2799685582.0,16442066.0,9997701418.0
4. Số dư cuối kỳ,II. Giá trị hao mòn luỹ kế > 4. Số dư cuối kỳ,4. Số dư cuối kỳ,893.708.036.328,16.278.102.425,48.050.586.392,12.680.178.182,970.716.903.327,893708036328.0,16278102425.0,48050586392.0,12680178182.0,970716903327.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,
1. Tại ngày đầu kỳ,III. Giá trị còn lại > 1. Tại ngày đầu kỳ,1. Tại ngày đầu kỳ,34.758.598.896,40.749.357.063,19.406.320.576,2.621.088.223,97.535.364.758,34758598896.0,40749357063.0,19406320576.0,2621088223.0,97535364758.0
2. Tại ngày cuối kỳ,III. Giá trị còn lại > 2. Tại ngày cuối kỳ,2. Tại ngày cuối kỳ,14.115.046.174.348,8.515.503.361,18.873.138.538,14.496.694.840,14.156.931.511.088,14115046174348.0,8515503361.0,18873138538.0,14496694840.0,14156931511088.0
