row_label_raw,row_label_full,Năm nay,Bắc Giang Lạng Sơn,Huế,Đà Nẵng,Phú Yên,Địa bàn khác,Tổng cộng,numeric__Bắc Giang Lạng Sơn,numeric__Huế,numeric__Đà Nẵng,numeric__Phú Yên,numeric__Địa bàn khác,numeric__Tổng cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,45.016.487.269,69.021.806.367,64.980.495.799,183.289.673.635,114.789.562.396,477.098.025.466,45016487269.0,69021806367.0,64980495799.0,183289673635.0,114789562396.0,477098025466.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,10.051.176.529.147,1.276.556.189.584,2.831.155.471.210,15.845.199.935.463,,30.004.088.125.404,10051176529147.0,1276556189584.0,2831155471210.0,15845199935463.0,,30004088125404.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,784.896.775.618,,,,,,784896775618.0
05 . Giá trị hợp lý của tài sản và nợ phải trả tài chính,05 . Giá trị hợp lý của tài sản và nợ phải trả tài chính,05 . Giá trị hợp lý của tài sản và nợ phải trả tài chính,05 . Giá trị hợp lý của tài sản và nợ phải trả tài chính,05 . Giá trị hợp lý của tài sản và nợ phải trả tài chính,05 . Giá trị hợp lý của tài sản và nợ phải trả tài chính,05 . Giá trị hợp lý của tài sản và nợ phải trả tài chính,05 . Giá trị hợp lý của tài sản và nợ phải trả tài chính,05 . Giá trị hợp lý của tài sản và nợ phải trả tài chính,,,,,,
a) Tài sản tài chính,a) Tài sản tài chính,a) Tài sản tài chính,Giá trị sổ sách,Giá trị sổ sách,Giá trị sổ sách,Giá trị sổ sách,Giá trị hợp lý,Giá trị hợp lý,,,,,,
a) Tài sản tài chính,a) Tài sản tài chính,a) Tài sản tài chính,31/12/2019,31/12/2019,01/01/2019,01/01/2019,31/12/2019,01/01/2019,,,,,,
a) Tài sản tài chính,a) Tài sản tài chính,a) Tài sản tài chính,Giá trị,Dư phòng,Giá trị,Dư phòng,,,,,,,,
Tiền và các khoản tương đương tiền,a) Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,812.490.759.442,,3.157.627.456,,812.490.759.442,3.157.627.456,812490759442.0,,3157627456.0,,812490759442.0,3157627456.0
Phải thu khách hàng,a) Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,42.930.027.808,,41.912.189.793,,42.930.027.808,41.912.189.793,42930027808.0,,41912189793.0,,42930027808.0,41912189793.0
Trả trước cho người bán,a) Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,575.712.943.344,,2.574.133.995,,575.712.943.344,2.574.133.995,575712943344.0,,2574133995.0,,575712943344.0,2574133995.0
Các khoản phải thu khác,a) Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,445.279.097.844,,41.196.084.145,,445.279.097.844,41.196.084.145,445279097844.0,,41196084145.0,,445279097844.0,41196084145.0
Đầu tư tài chính dài hạn,a) Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,376.232.381.816,,91.283.120.000,,376.232.381.816,91.283.120.000,376232381816.0,,91283120000.0,,376232381816.0,91283120000.0
Cộng,a) Tài sản tài chính > Cộng,Cộng,2.252.645.210.254,,180.123.155.389,,2.252.645.210.254,180.123.155.389,2252645210254.0,,180123155389.0,,2252645210254.0,180123155389.0
b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,Giá trị sổ sách,Giá trị sổ sách,Giá trị sổ sách,Giá trị sổ sách,Giá trị hợp lý,Giá trị hợp lý,,,,,,
b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,31/12/2019,31/12/2019,01/01/2019,01/01/2019,31/12/2019,01/01/2019,,,,,,
b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,Giá trị,Dư phòng,Giá trị,Dư phòng,,,,,,,,
Phải trả cho người bán,b) Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,1.097.329.726.551,,52.118.095.808,,1.097.329.726.551,52.118.095.808,1097329726551.0,,52118095808.0,,1097329726551.0,52118095808.0
Người mua trả tiền trước,b) Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,13.671.606.067,,34.747.474.786,,13.671.606.067,34.747.474.786,13671606067.0,,34747474786.0,,13671606067.0,34747474786.0
Vay và nợ,b) Nợ phải trả tài chính > Vay và nợ,Vay và nợ,20.304.695.093.734,,108.893.341.010,,20.304.695.093.734,108.893.341.010,20304695093734.0,,108893341010.0,,20304695093734.0,108893341010.0
Phải trả người lao động,b) Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,12.777.915.177,,7.985.629.368,,12.777.915.177,7.985.629.368,12777915177.0,,7985629368.0,,12777915177.0,7985629368.0
Các khoản phải trả khác,b) Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,1.239.493.642.697,,7.377.910.273,,1.239.493.642.697,7.377.910.273,1239493642697.0,,7377910273.0,,1239493642697.0,7377910273.0
Cộng,b) Nợ phải trả tài chính > Cộng,Cộng,22.667.967.984.226,,211.122.451.245,,22.667.967.984.226,211.122.451.245,22667967984226.0,,211122451245.0,,22667967984226.0,211122451245.0
