row_label_raw,row_label_full,"Giá trị còn lại TSCĐ và chi phí thanh lý, nhượng bán TSCĐ",3.421.619.485,col_2,numeric__3.421.619.485,numeric__col_2
Các khoản bị phạt,Các khoản bị phạt,Các khoản bị phạt,823.210.783,758.254.875,823210783.0,758254875.0
Các khoản khác,Các khoản khác,Các khoản khác,449.655.767,91.202.677,449655767.0,91202677.0
Cộng,Cộng,Cộng,4.694.486.035,849.457.552,4694486035.0,849457552.0
