row_label_raw,row_label_full,Chỉ tiêu,Giá trị hợp lý ghi nhận tại ngày hợp nhất (VND),numeric__Giá trị hợp lý ghi nhận tại ngày hợp nhất (VND)
Tải sản,Tải sản,Tải sản,93.201.636.457,93201636457.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,25.139.929.113,25139929113.0
Tải sản thuần tại ngày mua,Tải sản thuần tại ngày mua,Tải sản thuần tại ngày mua,68.061.707.344,68061707344.0
Phần sở hữu trong Công ty liên kết,Phần sở hữu trong Công ty liên kết,Phần sở hữu trong Công ty liên kết,14.939.544.762,14939544762.0
Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,13.500.000.000,13500000000.0
Chênh lệch giữa phần sở hữu của Công ty trong giá trị hợp lý của tài sản thuần ghi nhận vào thu nhập khác,Chênh lệch giữa phần sở hữu của Công ty trong giá trị hợp lý của tài sản thuần ghi nhận vào thu nhập khác,Chênh lệch giữa phần sở hữu của Công ty trong giá trị hợp lý của tài sản thuần ghi nhận vào thu nhập khác,1.439.544.762,1439544762.0
n đầu tư được trình bày theo phương pháp vốn chủ sau ngày hợp nhất như sau:,n đầu tư được trình bày theo phương pháp vốn chủ sau ngày hợp nhất như sau:,n đầu tư được trình bày theo phương pháp vốn chủ sau ngày hợp nhất như sau:,n đầu tư được trình bày theo phương pháp vốn chủ sau ngày hợp nhất như sau:,
Lợi nhuận sau thuế của Công ty liên kết sau ngày mua,n đầu tư được trình bày theo phương pháp vốn chủ sau ngày hợp nhất như sau: > Lợi nhuận sau thuế của Công ty liên kết sau ngày mua,Lợi nhuận sau thuế của Công ty liên kết sau ngày mua,1.428.004.475,1428004475.0
Trích quỹ khác,Trích quỹ khác,Trích quỹ khác,,
Tỷ lệ lợi ích,Trích quỹ khác > Tỷ lệ lợi ích,Tỷ lệ lợi ích,"21,95%",0.2195
"Lãi lỗ trong công ty liên doanh, liên kết","Trích quỹ khác > Lãi lỗ trong công ty liên doanh, liên kết","Lãi lỗ trong công ty liên doanh, liên kết",313.446.982,313446982.0
Giá gốc khoản đầu tư,Trích quỹ khác > Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,13.500.000.000,13500000000.0
Giá trị ghi sổ khoản đầu tư,Trích quỹ khác > Giá trị ghi sổ khoản đầu tư,Giá trị ghi sổ khoản đầu tư,13.813.446.982,13813446982.0
