row_label_raw,row_label_full,Năm nay,Thu phí trạm BOT,Xây dựng,Dịch vụ trung chuyển,"Vận hành, bảo dưỡng Hầm",Doanh thu khác,Tổng cộng,numeric__Thu phí trạm BOT,numeric__Xây dựng,numeric__Dịch vụ trung chuyển,"numeric__Vận hành, bảo dưỡng Hầm",numeric__Doanh thu khác,numeric__Tổng cộng
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(2.473.947.351),,,,,,-2473947351.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,(564.092.582),,,,,,-564092582.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,155.043.312.488,,,,,,155043312488.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,784.896.775.618,,,,,,784896775618.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,47.436.904.975,,,,,,47436904975.0
- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,,,,,,,,,,,,
01/01/2019,01/01/2019,01/01/2019,Dự án BOT,Xây dựng,Bất động sản đầu tư,"Vận hành, bảo dưỡng Hầm",Dịch vụ,Tổng cộng,,,,,,
Tài sản bộ phận,01/01/2019 > Tài sản bộ phận,Tài sản bộ phận,,41.834.993.668,8.362.670.271,3.672.677.537,14.436.993.933,68.307.335.409,,41834993668.0,8362670271.0,3672677537.0,14436993933.0,68307335409.0
Tài sản không phân bổ,01/01/2019 > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,292.107.644.545,,,,,,292107644545.0
Tổng tài sản,01/01/2019 > Tổng tài sản,Tổng tài sản,,41.834.993.668,8.362.670.271,3.672.677.537,14.436.993.933,360.414.979.954,,41834993668.0,8362670271.0,3672677537.0,14436993933.0,360414979954.0
Nợ phải trả bộ phận,01/01/2019 > Nợ phải trả bộ phận,Nợ phải trả bộ phận,,121.173.680.110,,90.384.706.855,,211.558.386.965,,121173680110.0,,90384706855.0,,211558386965.0
Nợ phải trả không phân bổ,01/01/2019 > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,47.405.876.647,,,,,,47405876647.0
Tổng nợ phải trả,01/01/2019 > Tổng nợ phải trả,Tổng nợ phải trả,,121.173.680.110,,90.384.706.855,,258.964.263.612,,121173680110.0,,90384706855.0,,258964263612.0
- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh ( tiếp theo),,,,,,
31/12/2019,31/12/2019,31/12/2019,Dự án BOT,Xây dựng,Bất động sản đầu tư,"Vận hành, bảo dưỡng Hầm",Dịch vụ,Tổng cộng,,,,,,
Tài sản bộ phận,31/12/2019 > Tài sản bộ phận,Tài sản bộ phận,29.412.469.867.452,8.894.369.571,7.928.640.442,1.568.084.315,12.974.997.440,29.443.835.959.220,29412469867452.0,8894369571.0,7928640442.0,1568084315.0,12974997440.0,29443835959220.0
Tài sản không phân bổ,31/12/2019 > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,560.252.166.184,,,,,,560252166184.0
Tổng tài sản,31/12/2019 > Tổng tài sản,Tổng tài sản,29.412.469.867.452,8.894.369.571,7.928.640.442,1.568.084.315,12.974.997.440,30.004.088.125.404,29412469867452.0,8894369571.0,7928640442.0,1568084315.0,12974997440.0,30004088125404.0
Nợ phải trả bộ phận,31/12/2019 > Nợ phải trả bộ phận,Nợ phải trả bộ phận,22.301.582.903.866,80.956.191.003,,153.188.678.576,,22.535.727.773.445,22301582903866.0,80956191003.0,,153188678576.0,,22535727773445.0
Nợp phải trả không phân bổ,31/12/2019 > Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,,,,,,484.796.667.476,,,,,,484796667476.0
Tổng nợ phải trả,31/12/2019 > Tổng nợ phải trả,Tổng nợ phải trả,22.301.582.903.866,80.956.191.003,,153.188.678.576,,23.020.524.440.921,22301582903866.0,80956191003.0,,153188678576.0,,23020524440921.0
b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,,,,,,
Năm trước,Năm trước,Năm trước,Bắc Giang Lạng Sơn,Huế,Đà Nẵng,Phú Yên,Địa bàn khác,Tổng cộng,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,,66.550.785.997,327.436.973.720,,711.329.091,394.699.088.808,,66550785997.0,327436973720.0,,711329091.0,394699088808.0
Tài sản bộ phận,Năm trước > Tài sản bộ phận,Tài sản bộ phận,,,,,,360.414.979.954,,,,,,360414979954.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm trước > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,111.059.289,,,,,,111059289.0
