row_label_raw,row_label_full,13 . PHẢI TRẢ NGƯỜI BÁN,31/12/2019 > Giá trị,31/12/2019 > Số có khả năng trả nợ,Đơn vị tính: VND01/01/2019 > Giá trị,Đơn vị tính: VND01/01/2019 > Số có khả năng trả nợ,numeric__31/12/2019 > Giá trị,numeric__31/12/2019 > Số có khả năng trả nợ,numeric__Đơn vị tính: VND01/01/2019 > Giá trị,numeric__Đơn vị tính: VND01/01/2019 > Số có khả năng trả nợ
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,1.097.329.726.551,1.097.329.726.551,52.118.095.808,52.118.095.808,1097329726551.0,1097329726551.0,52118095808.0,52118095808.0
Công ty CP XD thí nghiệm điện & trang trí nội thất EMTC3,Công ty CP XD thí nghiệm điện & trang trí nội thất EMTC3,Công ty CP XD thí nghiệm điện & trang trí nội thất EMTC3,11.867.731.900,11.867.731.900,,,11867731900.0,11867731900.0,,
Công ty cổ phần dịch vụ bảo vệ hậu cần Thăng Long - Đèo cả,Công ty cổ phần dịch vụ bảo vệ hậu cần Thăng Long - Đèo cả,Công ty cổ phần dịch vụ bảo vệ hậu cần Thăng Long - Đèo cả,6.674.819.800,6.674.819.800,6.529.153.672,6.529.153.672,6674819800.0,6674819800.0,6529153672.0,6529153672.0
Công ty cổ phần đầu tư xây dựng Hoàng Tiến - Đà Nẵng,Công ty cổ phần đầu tư xây dựng Hoàng Tiến - Đà Nẵng,Công ty cổ phần đầu tư xây dựng Hoàng Tiến - Đà Nẵng,,,468.083.001,468.083.001,,,468083001.0,468083001.0
Công ty Cổ phần Tín Hùng Dũng,Công ty Cổ phần Tín Hùng Dũng,Công ty Cổ phần Tín Hùng Dũng,36.341.742,36.341.742,36.341.742,36.341.742,36341742.0,36341742.0,36341742.0,36341742.0
Công ty TNHH MTV xây dựng 99,Công ty TNHH MTV xây dựng 99,Công ty TNHH MTV xây dựng 99,1.707.015.145,1.707.015.145,5.595.922.661,5.595.922.661,1707015145.0,1707015145.0,5595922661.0,5595922661.0
Chi nhánh Công ty TNHH MTV BCA - Thăng Long tại TP Hồ Chí Minh,Chi nhánh Công ty TNHH MTV BCA - Thăng Long tại TP Hồ Chí Minh,Chi nhánh Công ty TNHH MTV BCA - Thăng Long tại TP Hồ Chí Minh,22.066.275.015,22.066.275.015,,,22066275015.0,22066275015.0,,
Công ty TNHH Thủy Tùng Châu,Công ty TNHH Thủy Tùng Châu,Công ty TNHH Thủy Tùng Châu,1.556.765.000,1.556.765.000,252.690.000,252.690.000,1556765000.0,1556765000.0,252690000.0,252690000.0
Công ty Cổ phần đầu tư xây dựng Đường Việt,Công ty Cổ phần đầu tư xây dựng Đường Việt,Công ty Cổ phần đầu tư xây dựng Đường Việt,88.307.200,88.307.200,88.307.200,88.307.200,88307200.0,88307200.0,88307200.0,88307200.0
Nguyễn Văn Dung,Nguyễn Văn Dung,Nguyễn Văn Dung,379.355.000,379.355.000,379.355.000,379.355.000,379355000.0,379355000.0,379355000.0,379355000.0
Công ty Cổ phần tập đoàn Đèo cả,Công ty Cổ phần tập đoàn Đèo cả,Công ty Cổ phần tập đoàn Đèo cả,779.553.495,779.553.495,194.171.000,194.171.000,779553495.0,779553495.0,194171000.0,194171000.0
Công ty cổ phần kỹ thuật công nghiệp á Châu,Công ty cổ phần kỹ thuật công nghiệp á Châu,Công ty cổ phần kỹ thuật công nghiệp á Châu,18.019.220.715,18.019.220.715,3.363.988.375,3.363.988.375,18019220715.0,18019220715.0,3363988375.0,3363988375.0
Công ty CP nền móng Đua Fat,Công ty CP nền móng Đua Fat,Công ty CP nền móng Đua Fat,,,2.035.138.770,2.035.138.770,,,2035138770.0,2035138770.0
Công ty CP Đầu tư và XD ICV Việt Nam,Công ty CP Đầu tư và XD ICV Việt Nam,Công ty CP Đầu tư và XD ICV Việt Nam,2.884.768.143,2.884.768.143,5.272.209.376,5.272.209.376,2884768143.0,2884768143.0,5272209376.0,5272209376.0
Công ty cổ phần Tư Văn Xây dựng A2Z,Công ty cổ phần Tư Văn Xây dựng A2Z,Công ty cổ phần Tư Văn Xây dựng A2Z,24.788.623.899,24.788.623.899,,,24788623899.0,24788623899.0,,
Công ty CP công nghệ Sao Bắc Đầu,Công ty CP công nghệ Sao Bắc Đầu,Công ty CP công nghệ Sao Bắc Đầu,63.586.665.138,63.586.665.138,,,63586665138.0,63586665138.0,,
Công ty TNHH APAVE Châu á - Thái Bình Dương,Công ty TNHH APAVE Châu á - Thái Bình Dương,Công ty TNHH APAVE Châu á - Thái Bình Dương,20.646.941.214,20.646.941.214,,,20646941214.0,20646941214.0,,
Công ty TNHH NIPPON KOEI Việt Nam Internationallc,Công ty TNHH NIPPON KOEI Việt Nam Internationallc,Công ty TNHH NIPPON KOEI Việt Nam Internationallc,13.060.562.513,13.060.562.513,,,13060562513.0,13060562513.0,,
Công ty CP Xây dựng Lũng Lô 9,Công ty CP Xây dựng Lũng Lô 9,Công ty CP Xây dựng Lũng Lô 9,20.985.717.618,20.985.717.618,,,20985717618.0,20985717618.0,,
Tổng công ty Xây dựng Lũng Lô,Tổng công ty Xây dựng Lũng Lô,Tổng công ty Xây dựng Lũng Lô,12.000.378.308,12.000.378.308,,,12000378308.0,12000378308.0,,
Công ty CP đầu tư GD phát triển công nghệ Năng Lượng,Công ty CP đầu tư GD phát triển công nghệ Năng Lượng,Công ty CP đầu tư GD phát triển công nghệ Năng Lượng,40.539.098.486,40.539.098.486,,,40539098486.0,40539098486.0,,
Công ty TNHH Hòa Hiệp,Công ty TNHH Hòa Hiệp,Công ty TNHH Hòa Hiệp,49.789.309.938,49.789.309.938,,,49789309938.0,49789309938.0,,
