row_label_raw,row_label_full,Tài sản,Giá trị ghi sổ tại ngày mua (VND),Giá trị hợp lý ghi nhận tại ngày mua (VND),Chênh lệch tài sản thuần (VND),numeric__Giá trị ghi sổ tại ngày mua (VND),numeric__Giá trị hợp lý ghi nhận tại ngày mua (VND),numeric__Chênh lệch tài sản thuần (VND)
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,18.735.653.678,18.735.653.678,,18735653678.0,18735653678.0,
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,,,,,,
Các khoản phải thu ngắn hạn,Đầu tư tài chính ngắn hạn > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,57.924.726.942,57.924.726.942,,57924726942.0,57924726942.0,
Các khoản phải thu dài hạn,Đầu tư tài chính ngắn hạn > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,82.851.586.991,82.851.586.991,,82851586991.0,82851586991.0,
Tài sản cố định,Đầu tư tài chính ngắn hạn > Tài sản cố định,Tài sản cố định,1.061.656.791.834,1.214.849.246.186,153.192.454.352,1061656791834.0,1214849246186.0,153192454352.0
Tài sản đó dang dài hạn,Đầu tư tài chính ngắn hạn > Tài sản đó dang dài hạn,Tài sản đó dang dài hạn,17.069.721,365.098.200,348.028.479,17069721.0,365098200.0,348028479.0
,,,1.221.185.829.166,1.374.726.311.997,153.540.482.831,1221185829166.0,1374726311997.0,153540482831.0
Nợ phải trả,Đầu tư tài chính ngắn hạn > Nợ phải trả,Nợ phải trả,(966.936.809.694),(966.936.809.694),,-966936809694.0,-966936809694.0,
Nguồn kinh phí và quỹ khác,Nguồn kinh phí và quỹ khác,Nguồn kinh phí và quỹ khác,,,,,,
Tài sản thuần,Nguồn kinh phí và quỹ khác > Tài sản thuần,Tài sản thuần,254.249.019.472,407.789.502.303,153.540.482.831,254249019472.0,407789502303.0,153540482831.0
