row_label_raw,row_label_full,1. Chi phí bán hàng,1. Chi phí bán hàng_1,1. Chi phí bán hàng_2,numeric__1. Chi phí bán hàng_1,numeric__1. Chi phí bán hàng_2
2. Chi phí quản lý doanh nghiệp,2. Chi phí quản lý doanh nghiệp,2. Chi phí quản lý doanh nghiệp,58.119.760.452,20.872.830.578,58119760452.0,20872830578.0
"Chi phí nguyên, vật liệu","Chi phí nguyên, vật liệu","Chi phí nguyên, vật liệu",287.036.542,,287036542.0,
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",5.592.162.057,552.808.475,5592162057.0,552808475.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,8.560.762.293,7.765.137.215,8560762293.0,7765137215.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,2.846.138.447,1.563.719.855,2846138447.0,1563719855.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,9.303.665.766,2.673.083.528,9303665766.0,2673083528.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",8.137.515,9.000.000,8137515.0,9000000.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,947.953.152,3.151.664.718,947953152.0,3151664718.0
Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,(2.189.243.495),,-2189243495.0,
Các khoản chi phí QLDN khác (bao gom ca LTTM),Các khoản chi phí QLDN khác (bao gom ca LTTM),Các khoản chi phí QLDN khác (bao gom ca LTTM),32.763.148.175,5.157.416.787,32763148175.0,5157416787.0
Cộng,Cộng,Cộng,58.119.760.452,20.872.830.578,58119760452.0,20872830578.0
