row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Nguồn kinh phí và quỹ khác,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Nguồn kinh phí và quỹ khác,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,49.375.000.000,(289.680.000),(94.640.000),641.827.257,12.455.758.472,,,62.088.265.729,49375000000.0,-289680000.0,-94640000.0,641827257.0,12455758472.0,,,62088265729.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,30.000.000.000,,,,,,,30.000.000.000,30000000000.0,,,,,,,30000000000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,,,,,13.174.456.649,,,13.174.456.649,,,,,13174456649.0,,,13174456649.0
Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,,,,,205.568.086,,,205.568.086,,,,,205568086.0,,,205568086.0
Giảm vốn trong năm trước,Giảm vốn trong năm trước,Giảm vốn trong năm trước,,,,1.240.824.122,(2.481.648.244),,,(1.240.824.122),,,,1240824122.0,-2481648244.0,,,-1240824122.0
Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,,,,,,,,,,,,
Lỗ trong năm trước,Lỗ trong năm trước,Lỗ trong năm trước,,,,,,,,,,,,,,,,
Chia cổ tức,Lỗ trong năm trước > Chia cổ tức,Chia cổ tức,,,,,(2.774.750.000),,,(2.774.750.000),,,,,-2774750000.0,,,-2774750000.0
Thủ lao hội đồng quản trị,Thủ lao hội đồng quản trị,Thủ lao hội đồng quản trị,,,,,,,,,,,,,,,,
Giảm khác,Giảm khác,Giảm khác,,,,,,,,,,,,,,,,
Số dư đầu năm nay,Giảm khác > Số dư đầu năm nay,Số dư đầu năm nay,79.375.000.000,(289.680.000),(94.640.000),1.882.651.379,20.579.384.963,,,101.452.716.342,79375000000.0,-289680000.0,-94640000.0,1882651379.0,20579384963.0,,,101452716342.0
Tăng vốn trong năm nay,Giảm khác > Tăng vốn trong năm nay,Tăng vốn trong năm nay,2.190.715.900.000,,,,,,,2.190.715.900.000,2190715900000.0,,,,,,,2190715900000.0
Lãi trong kỳ này,Giảm khác > Lãi trong kỳ này,Lãi trong kỳ này,,,,1.317.445.664,201.106.184.909,,(46.062.872.421),156.360.758.152,,,,1317445664.0,201106184909.0,,-46062872421.0,156360758152.0
Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,,,,,,,,,,,,
Số dư nguồn vốn của cty con tại ngày mua,Trích quỹ từ lợi nhuận > Số dư nguồn vốn của cty con tại ngày mua,Số dư nguồn vốn của cty con tại ngày mua,,,,,,3.452.924.767.484,1.094.341.796.251,4.547.266.563.735,,,,,,3452924767484.0,1094341796251.0,4547266563735.0
Tăng khác,Trích quỹ từ lợi nhuận > Tăng khác,Tăng khác,,289.680.000,94.640.000,,616.375.984,,,1.000.695.984,,289680000.0,94640000.0,,616375984.0,,,1000695984.0
Lỗ do thoái vốn,Lỗ do thoái vốn,Lỗ do thoái vốn,,,,,,,,,,,,,,,,
Chia cổ tức,Lỗ do thoái vốn > Chia cổ tức,Chia cổ tức,,,,,(10.308.378.402),,,(10.308.378.402),,,,,-10308378402.0,,,-10308378402.0
Giảm khác,Lỗ do thoái vốn > Giảm khác,Giảm khác,,,,,(2.924.571.328),,,(2.924.571.328),,,,,-2924571328.0,,,-2924571328.0
Số dư cuối năm,Lỗ do thoái vốn > Số dư cuối năm,Số dư cuối năm,2.270.090.900.000,,,3.200.097.043,209.068.996.126,3.452.924.767.484,1.048.278.923.830,6.983.563.684.483,2270090900000.0,,,3200097043.0,209068996126.0,3452924767484.0,1048278923830.0,6983563684483.0
