row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2017VND,Năm 2016VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2017VND,numeric__Năm 2016VND
,,,I. LUÙ CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LUÙ CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LUÙ CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LUÙ CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,01,01,"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",,501.227.241.153,998.814.334.322,,,501227241153.0,998814334322.0
02,02,02,2. Tiền chi trả cho người cung cấp hàng hóa và dịch vụ,,(553.010.093.829),(380.840.024.912),,,-553010093829.0,-380840024912.0
03,03,03,3. Tiền chi trả cho người lao động,,(68.687.427.552),(58.762.652.122),,,-68687427552.0,-58762652122.0
04,04,04,4. Tiền lãi vay đã trả,,(19.297.821.272),(21.525.900.389),,,-19297821272.0,-21525900389.0
05,05,05,5. Thuế thu nhập doanh nghiệp đã nộp,,(13.914.051.471),(36.585.176),,,-13914051471.0,-36585176.0
06,06,06,6. Tiền thu khác từ hoạt động kinh doanh,,421.936.541.490,1.031.393.053.507,,,421936541490.0,1031393053507.0
07,07,07,7. Tiền chi khác cho hoạt động kinh doanh,,(1.348.451.445.563),(1.282.543.892.535),,,-1348451445563.0,-1282543892535.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,(1.080.197.057.044),286.498.332.695,,,-1080197057044.0,286498332695.0
,,,II. LUÙ CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LUÙ CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LUÙ CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LUÙ CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,
21,21,21,"1. Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",,(4.689.562.328),(28.454.670.618),,,-4689562328.0,-28454670618.0
23,23,23,"2. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(17.328.903),(10.206.324.906),,,-17328903.0,-10206324906.0
24,24,24,"3. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,303.391.153.087,218.522.387.499,,,303391153087.0,218522387499.0
25,25,25,4. Tiền chi đầu tư góp vốn vào đơn vị khác,,(1.103.740.012.725),(1.194.561.359.921),,,-1103740012725.0,-1194561359921.0
26,26,26,5. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,6.298.900.000,23.394.500.000,,,6298900000.0,23394500000.0
27,27,27,"6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,1.341.603.045.706,736.857.192.388,,,1341603045706.0,736857192388.0
30,30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,542.846.194.837,(254.448.275.558),,,542846194837.0,-254448275558.0
,,,III. LUÙ CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUÙ CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUÙ CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUÙ CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
33,33,33,1. Tiền thu từ đi vay,,26.656.734.637,113.683.633.180,,,26656734637.0,113683633180.0
34,34,34,2. Tiền trả nợ gốc vay,,(174.804.092.955),(146.156.884.083),,,-174804092955.0,-146156884083.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,(148.147.358.318),(32.473.250.903),,,-148147358318.0,-32473250903.0
50,50,50,Lưu chuyển tiền thuần trong năm,,(685.498.220.525),(423.193.766),,,-685498220525.0,-423193766.0
60,60,60,Tiền và tương đương tiền đầu năm,,1.036.713.926.456,1.035.426.884.770,,,1036713926456.0,1035426884770.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,-,1.710.235.452,,,,1710235452.0
70,70,70,Tiền và tương đương tiền cuối năm,3,351.215.705.931,1.036.713.926.456,,3.0,351215705931.0,1036713926456.0
