row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,31/12/2017 VND,01/01/2017 VND,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__31/12/2017 VND,numeric__01/01/2017 VND
200,200,200,B. TÀI SẢN DÀI HẠN,,38.583.284.319.340,34.536.079.932.752,,,38583284319340.0,34536079932752.0
210,210,210,I. Các khoản phải thu dài hạn,,2.492.815.786.161,1.487.142.810.217,,,2492815786161.0,1487142810217.0
215,215,215,1. Phải thu về cho vay dài hạn,7,1.326.242.133.862,1.496.188.257.011,,7.0,1326242133862.0,1496188257011.0
216,216,216,2. Phải thu dài hạn khác,8,1.169.128.952.299,587.463.490.850,,8.0,1169128952299.0,587463490850.0
219,219,219,3. Dự phòng phải thu dài hạn khó đòi,,(2.555.300.000),(596.508.937.644),,,-2555300000.0,-596508937644.0
220,220,220,II. Tài sản cố định,,151.744.962.232,176.096.623.354,,,151744962232.0,176096623354.0
221,221,221,1. Tài sản cố định hữu hình,11,135.308.607.327,161.765.303.959,,11.0,135308607327.0,161765303959.0
222,222,222,- Nguyên giá,,245.626.181.203,244.994.121.203,,,245626181203.0,244994121203.0
223,223,223,- Giá trị hao mòn lũy kế,,(110.317.573.876),(83.228.817.244),,,-110317573876.0,-83228817244.0
227,227,227,2. Tài sản cố định vô hình,12,16.436.354.905,14.331.319.395,,12.0,16436354905.0,14331319395.0
228,228,228,- Nguyên giá,,23.210.860.764,18.967.769.814,,,23210860764.0,18967769814.0
229,229,229,- Giá trị hao mòn lũy kế,,(6.774.505.859),(4.636.450.419),,,-6774505859.0,-4636450419.0
240,240,240,IV. Tài sản dở dang dài hạn,,-,3.013.793.636,,,,3013793636.0
242,242,242,1. Chi phí xây dựng cơ bản dở dang,13,-,3.013.793.636,,13.0,,3013793636.0
250,250,250,V. Các khoản đầu tư tài chính dài hạn,4,35.934.530.163.731,32.863.798.185.602,,4.0,35934530163731.0,32863798185602.0
251,251,251,1. Đầu tư vào công ty con,,29.813.894.825.178,27.829.815.844.478,,,29813894825178.0,27829815844478.0
252,252,252,"2. Đầu tư vào công ty liên doanh, liên kết",,5.615.664.983.167,4.812.212.689.946,,,5615664983167.0,4812212689946.0
253,253,253,3. Đầu tư góp vốn vào đơn vị khác,,337.834.415.273,351.757.022.224,,,337834415273.0,351757022224.0
254,254,254,4. Dự phòng giảm giá đầu tư tài chính dài hạn,,(2.864.059.887),(385.987.371.046),,,-2864059887.0,-385987371046.0
255,255,255,5. Đầu tư nằm giữ đến ngày đáo hạn,,170.000.000.000,256.000.000.000,,,170000000000.0,256000000000.0
260,260,260,VI. Tài sản dài hạn khác,,4.193.407.216,6.028.519.943,,,4193407216.0,6028519943.0
261,261,261,1. Chi phí trả trước dài hạn,14,4.193.407.216,6.028.519.943,,14.0,4193407216.0,6028519943.0
270,270,270,TỔNG CỘNG TÀI SẢN,,39.957.271.617.596,36.477.068.529.249,,,39957271617596.0,36477068529249.0
