row_label_raw,row_label_full,Đối tượng,Đối tượng_1,Môi quan hệ,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Đối tượng_1,numeric__Môi quan hệ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Công ty CP Đầu tư và phát triển Đa Quốc Gia IDI,Công ty CP Đầu tư và phát triển Đa Quốc Gia IDI,Công ty CP Đầu tư và phát triển Đa Quốc Gia IDI,Công ty CP Đầu tư và phát triển Đa Quốc Gia IDI,Cty Liên kết,30.533.290.364,30.533.290.364,88.170.983.887,88.170.983.887,,,30533290364.0,30533290364.0,88170983887.0,88170983887.0
Công ty CP Đầu tư Du lịch và Phát triển Thuy sân,Công ty CP Đầu tư Du lịch và Phát triển Thuy sân,Công ty CP Đầu tư Du lịch và Phát triển Thuy sân,Công ty CP Đầu tư Du lịch và Phát triển Thuy sân,Đầu tư dài hạn khác,4.955.169.750,4.955.169.750,526.762.468,526.762.468,,,4955169750.0,4955169750.0,526762468.0,526762468.0
13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,,,,,,
,,,Số đầu năm,Số đầu năm,Trong kỳ,Trong kỳ,Số cuối năm,Số cuối năm,,,,,,
,,,Phải thu,Phải nộp,Số phải nộp trong năm,Số đã thực nộp trong năm,Phải thu,Phải nộp,,,,,,
Thuế GTGT,13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC > Thuế GTGT,Thuế GTGT,16.346.245.182,9.081.177.010,43.561.284.302,36.476.777.960,4.541.991.861,5.516.760.204,16346245182.0,9081177010.0,43561284302.0,36476777960.0,4541991861.0,5516760204.0
Thuế GTGT hàng nhập khẩu,13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,67.024.298,,,,67.024.298,,67024298.0,,,,67024298.0,
Thuế thu nhập doanh nghiệp,13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,9.249.109.682,21.999.905.273,28.555.485.610,,2.693.529.345,,9249109682.0,21999905273.0,28555485610.0,,2693529345.0
Thuế thu nhập cá nhân,13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,,501.997.953,1.257.951.341,3.649.439.438,1.889.490.144,,,501997953.0,1257951341.0,3649439438.0,1889490144.0,
"Thuế nhà đất, thuê đất...","13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC > Thuế nhà đất, thuê đất...","Thuế nhà đất, thuê đất...",,16.880.462.792,15.723.286.563,25.723.286.563,439.325.660,7.300.684.000,,16880462792.0,15723286563.0,25723286563.0,439325660.0,7300684000.0
Thuế tiêu thụ đặc biệt,13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,,9.013.420,45.837.252,51.683.687,,3.166.985,,9013420.0,45837252.0,51683687.0,,3166985.0
Các loại thuế khác,13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC > Các loại thuế khác,Các loại thuế khác,,208.601.692,4.511.266.194,4.047.760.075,,672.107.811,,208601692.0,4511266194.0,4047760075.0,,672107811.0
Cộng,13 . THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC > Cộng,Cộng,16.413.269.480,35.930.362.549,87.099.530.925,98.504.433.333,6.937.831.963,16.186.248.345,16413269480.0,35930362549.0,87099530925.0,98504433333.0,6937831963.0,16186248345.0
