row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,91.682.699.532,91.682.699.532,101.040.087.826,101.040.087.826,91682699532.0,91682699532.0,101040087826.0,101040087826.0
+ Công Ty IDI - Phí hoa hồng IDI chi dùm,+ Công Ty IDI - Phí hoa hồng IDI chi dùm,+ Công Ty IDI - Phí hoa hồng IDI chi dùm,14.331.105.114,14.331.105.114,,,14331105114.0,14331105114.0,,
+ Công ty IDI - Mua 83 nền kdc Bình Khánh,+ Công ty IDI - Mua 83 nền kdc Bình Khánh,+ Công ty IDI - Mua 83 nền kdc Bình Khánh,41.600.000,41.600.000,2.529.800.000,2.529.800.000,41600000.0,41600000.0,2529800000.0,2529800000.0
+ Công ty IDI - Cá NL (TA),+ Công ty IDI - Cá NL (TA),+ Công ty IDI - Cá NL (TA),,,1.439.952.938,1.439.952.938,,,1439952938.0,1439952938.0
+ Công ty IDI - Chi Phí Gia Công Cá Nguyên Liệu,+ Công ty IDI - Chi Phí Gia Công Cá Nguyên Liệu,+ Công ty IDI - Chi Phí Gia Công Cá Nguyên Liệu,,,2.929.423.774,2.929.423.774,,,2929423774.0,2929423774.0
"+ Công ty IDI - Phí UTXK, cước tàu, vận chuyển nội bộ","+ Công ty IDI - Phí UTXK, cước tàu, vận chuyển nội bộ","+ Công ty IDI - Phí UTXK, cước tàu, vận chuyển nội bộ",,,6.409.297.750,6.409.297.750,,,6409297750.0,6409297750.0
"+ Công ty IDI - Mua cá (Chi nhánh Lắp Vò, Đồng Tháp)","+ Công ty IDI - Mua cá (Chi nhánh Lắp Vò, Đồng Tháp)","+ Công ty IDI - Mua cá (Chi nhánh Lắp Vò, Đồng Tháp)",,,74.862.509.425,74.862.509.425,,,74862509425.0,74862509425.0
+ Công ty IDI - Cá file ( Công ty Du lịch Đồng Tháp),+ Công ty IDI - Cá file ( Công ty Du lịch Đồng Tháp),+ Công ty IDI - Cá file ( Công ty Du lịch Đồng Tháp),16.160.585.250,16.160.585.250,,,16160585250.0,16160585250.0,,
+ Công ty CP XK Thủy Hải Sản Sạch,+ Công ty CP XK Thủy Hải Sản Sạch,+ Công ty CP XK Thủy Hải Sản Sạch,6.346.901.784,6.346.901.784,,,6346901784.0,6346901784.0,,
+ Cty TNHH 1TV Toàn Cầu,+ Cty TNHH 1TV Toàn Cầu,+ Cty TNHH 1TV Toàn Cầu,10.868.191.594,10.868.191.594,,,10868191594.0,10868191594.0,,
+ Công ty Seatecco,+ Công ty Seatecco,+ Công ty Seatecco,26.204.839.780,26.204.839.780,,,26204839780.0,26204839780.0,,
+ Khu dân cư Bình Khánh 3 (ba),+ Khu dân cư Bình Khánh 3 (ba),+ Khu dân cư Bình Khánh 3 (ba),664.790.850,664.790.850,102.899.241,102.899.241,664790850.0,664790850.0,102899241.0,102899241.0
+ Bờ Kè (CCN),+ Bờ Kè (CCN),+ Bờ Kè (CCN),402.981.597,402.981.597,466.029.597,466.029.597,402981597.0,402981597.0,466029597.0,466029597.0
+ Cty Cp Đầu Tư & PT Thủy Sân - Cá Fillet,+ Cty Cp Đầu Tư & PT Thủy Sân - Cá Fillet,+ Cty Cp Đầu Tư & PT Thủy Sân - Cá Fillet,4.955.169.750,4.955.169.750,526.762.468,526.762.468,4955169750.0,4955169750.0,526762468.0,526762468.0
"+ NMCBDC - Xưởng Đ.chai, Xưởng T.phẩm","+ NMCBDC - Xưởng Đ.chai, Xưởng T.phẩm","+ NMCBDC - Xưởng Đ.chai, Xưởng T.phẩm",69.467.600,69.467.600,619.350.600,619.350.600,69467600.0,69467600.0,619350600.0,619350600.0
+ Cty TNHH CK NH Ngoại Thương VN,+ Cty TNHH CK NH Ngoại Thương VN,+ Cty TNHH CK NH Ngoại Thương VN,,,422.500.000,422.500.000,,,422500000.0,422500000.0
+ Khu dân cư Bình Thạnh Trung - Lắp Vò,+ Khu dân cư Bình Thạnh Trung - Lắp Vò,+ Khu dân cư Bình Thạnh Trung - Lắp Vò,,,519.144.000,519.144.000,,,519144000.0,519144000.0
+ NMCBDC - Lò hơi & Kho trấu,+ NMCBDC - Lò hơi & Kho trấu,+ NMCBDC - Lò hơi & Kho trấu,,,760.000.000,760.000.000,,,760000000.0,760000000.0
+ Cty CP Chứng Khoán MB,+ Cty CP Chứng Khoán MB,+ Cty CP Chứng Khoán MB,,,800.000.000,800.000.000,,,800000000.0,800000000.0
+ CTY CP Tiếp Vận Xanh,+ CTY CP Tiếp Vận Xanh,+ CTY CP Tiếp Vận Xanh,,,1.030.000.000,1.030.000.000,,,1030000000.0,1030000000.0
+ Khu dân cư Bình Khánh 5 (năm),+ Khu dân cư Bình Khánh 5 (năm),+ Khu dân cư Bình Khánh 5 (năm),,,2.084.090.265,2.084.090.265,,,2084090265.0,2084090265.0
+ Khách hàng khác,+ Khách hàng khác,+ Khách hàng khác,11.637.066.213,11.637.066.213,5.538.327.768,5.538.327.768,11637066213.0,11637066213.0,5538327768.0,5538327768.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,,,,,
Cộng,b) Dài hạn > Cộng,Cộng,91.682.699.532,91.682.699.532,101.040.087.826,101.040.087.826,91682699532.0,91682699532.0,101040087826.0,101040087826.0
