row_label_raw,row_label_full,CÁC KHOẢN ĐẦU TƯ TÀI CHÍNH,CÁC KHOẢN ĐẦU TƯ TÀI CHÍNH_1,CÁC KHOẢN ĐẦU TƯ TÀI CHÍNH_2,CÁC KHOẢN ĐẦU TƯ TÀI CHÍNH_3,CÁC KHOẢN ĐẦU TƯ TÀI CHÍNH_4,CÁC KHOẢN ĐẦU TƯ TÀI CHÍNH_5,CÁC KHOẢN ĐẦU TƯ TÀI CHÍNH_6,numeric__CÁC KHOẢN ĐẦU TƯ TÀI CHÍNH_1,numeric__CÁC KHOẢN ĐẦU TƯ TÀI CHÍNH_2,numeric__CÁC KHOẢN ĐẦU TƯ TÀI CHÍNH_3,numeric__CÁC KHOẢN ĐẦU TƯ TÀI CHÍNH_4,numeric__CÁC KHOẢN ĐẦU TƯ TÀI CHÍNH_5,numeric__CÁC KHOẢN ĐẦU TƯ TÀI CHÍNH_6
a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,,,,,,
b) Đầu tư nằm giữ đến ngày đáo hạn,b) Đầu tư nằm giữ đến ngày đáo hạn,b) Đầu tư nằm giữ đến ngày đáo hạn,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,,
b) Đầu tư nằm giữ đến ngày đáo hạn,b) Đầu tư nằm giữ đến ngày đáo hạn,b) Đầu tư nằm giữ đến ngày đáo hạn,Giá gốc,Giá trị ghi sở,,Giá gốc,Giá trị ghi sở,,,,,,,
b1) Ngắn hạn,b1) Ngắn hạn,b1) Ngắn hạn,,,,,,,,,,,,
b2) Dải hạn,b1) Ngắn hạn > b2) Dải hạn,b2) Dải hạn,5.110.000.000,5.110.000.000,,,,,5110000000.0,5110000000.0,,,,
- Tiền gửi có kỳ hạn,b1) Ngắn hạn > - Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,5.110.000.000,5.110.000.000,,,,,5110000000.0,5110000000.0,,,,
c) Đầu tư Công ty liên doanh liên kết,c) Đầu tư Công ty liên doanh liên kết,c) Đầu tư Công ty liên doanh liên kết,Số cuối năm,Số cuối năm,Số cuối năm,,Số đầu năm,Số đầu năm,,,,,,
c) Đầu tư Công ty liên doanh liên kết,c) Đầu tư Công ty liên doanh liên kết,c) Đầu tư Công ty liên doanh liên kết,Giá trị đầu tư theo phương pháp vốn chủ sở hữu,Giá trị hợp lý,,,Giá trị đầu tư theo phương pháp vốn chủ sở hữu,Giá trị hợp lý,,,,,,
Đầu tư Công ty liên doanh liên kết,c) Đầu tư Công ty liên doanh liên kết > Đầu tư Công ty liên doanh liên kết,Đầu tư Công ty liên doanh liên kết,265.747.841.810,196.560.744.300,,,248.949.869.307,118.333.824.000,265747841810.0,196560744300.0,,,248949869307.0,118333824000.0
+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,c) Đầu tư Công ty liên doanh liên kết > + Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,265.747.841.810,196.560.744.300,,,154.770.262.454,118.333.824.000,265747841810.0,196560744300.0,,,154770262454.0,118333824000.0
+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản (*),c) Đầu tư Công ty liên doanh liên kết > + Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản (*),+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản (*),,,,,72.765.013.622,,,,,,72765013622.0,
+ Công ty CP CP Đầu Cá Châu Á (*),c) Đầu tư Công ty liên doanh liên kết > + Công ty CP CP Đầu Cá Châu Á (*),+ Công ty CP CP Đầu Cá Châu Á (*),,,,,21.414.593.231,,,,,,21414593231.0,
d) Đầu tư góp vốn vào đơn vị khác,d) Đầu tư góp vốn vào đơn vị khác,d) Đầu tư góp vốn vào đơn vị khác,Số cuối năm,Số cuối năm,Số cuối năm,,,,,,,,,
d) Đầu tư góp vốn vào đơn vị khác,d) Đầu tư góp vốn vào đơn vị khác,d) Đầu tư góp vốn vào đơn vị khác,Giá gốc,Giá hợp lý,Dự phòng,Giá gốc,Giá hợp lý,Dự phòng,,,,,,
Đầu tư góp vốn vào đơn vị khác,d) Đầu tư góp vốn vào đơn vị khác > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,40.060.000.000,82.500.000.000,(32.587.954),23.940.000.000,,(13.052.496),40060000000.0,82500000000.0,-32587954.0,23940000000.0,,-13052496.0
+ Công ty CP Tư vấn và Đầu tư Tài chính (*),d) Đầu tư góp vốn vào đơn vị khác > + Công ty CP Tư vấn và Đầu tư Tài chính (*),+ Công ty CP Tư vấn và Đầu tư Tài chính (*),8.060.000.000,,(32.587.954),7.940.000.000,,(13.052.496),8060000000.0,,-32587954.0,7940000000.0,,-13052496.0
+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,d) Đầu tư góp vốn vào đơn vị khác > + Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,15.000.000.000,82.500.000.000,,15.000.000.000,,,15000000000.0,82500000000.0,,15000000000.0,,
+ Công ty CP Nhụt Hồng (*),d) Đầu tư góp vốn vào đơn vị khác > + Công ty CP Nhụt Hồng (*),+ Công ty CP Nhụt Hồng (*),15.000.000.000,,,,,,15000000000.0,,,,,
+ Công ty CP Bóng Đá Đồng Tháp (*),d) Đầu tư góp vốn vào đơn vị khác > + Công ty CP Bóng Đá Đồng Tháp (*),+ Công ty CP Bóng Đá Đồng Tháp (*),2.000.000.000,,,1.000.000.000,,,2000000000.0,,,1000000000.0,,
Ghi chú:,Ghi chú:,Ghi chú:,,,,,,,,,,,,
