row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Đơn vị tính: VND(VND),numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND(VND)
+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,,
,,,- Phải trả chi hộ phí hoa hồng,322.750.680,,322750680.0
,,,- Phải trả chi dùm tiền BHXH,19.305.000,,19305000.0
,,,- Bán cá nguyên liệu,254.343.838.540,,254343838540.0
,,,- Bán cá tra nguyên liệu,233.650.300.940,,233650300940.0
,,,- Phải trả uỷ thác xuất khẩu,48.450.341.145,,48450341145.0
,,,- Phải thu tiền mượn tạm,29.000.000.000,,29000000000.0
,,,- Phải thu tiền chi hộ BHXH,68.566.000,,68566000.0
