row_label_raw,row_label_full,a) Ngoại tệ các loại,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
- Dollar Mỹ (USD),- Dollar Mỹ (USD),- Dollar Mỹ (USD),"11.913,00","103.625,31",11913.0,103625.31
- Bảng Anh (EUR),- Bảng Anh (EUR),- Bảng Anh (EUR),,,,
b) Nợ khó đòi đã xử lý,b) Nợ khó đòi đã xử lý,b) Nợ khó đòi đã xử lý,b) Nợ khó đòi đã xử lý,b) Nợ khó đòi đã xử lý,,
