row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,Số cuối năm,Số đầu năm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng,numeric__Số cuối năm,numeric__Số đầu năm
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,472.339.566.075,,389.731.896.437,,472.339.566.075,389.731.896.437,472339566075.0,,389731896437.0,,472339566075.0,389731896437.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,362.280.763.909,,337.983.074.317,,362.280.763.909,337.983.074.317,362280763909.0,,337983074317.0,,362280763909.0,337983074317.0
Trả trước cho người bán,Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,1.031.044.021.159,,270.196.363.430,,1.031.044.021.159,270.196.363.430,1031044021159.0,,270196363430.0,,1031044021159.0,270196363430.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,179.910.469.822,,78.246.563.417,,179.910.469.822,78.246.563.417,179910469822.0,,78246563417.0,,179910469822.0,78246563417.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,310.885.253.856,(32.587.954),272.876.816.811,(13.052.496),309.507.264.644,272.863.764.315,310885253856.0,-32587954.0,272876816811.0,-13052496.0,309507264644.0,272863764315.0
Cộng,Tài sản tài chính > Cộng,Cộng,2.356.460.074.821,(32.587.954),1.349.034.714.412,(13.052.496),2.355.082.085.609,1.349.021.661.916,2356460074821.0,-32587954.0,1349034714412.0,-13052496.0,2355082085609.0,1349021661916.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,91.682.699.532,,100.236.326.979,,91.682.699.532,100.236.326.979,91682699532.0,,100236326979.0,,91682699532.0,100236326979.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,262.021.416.318,,,,262.021.416.318,,262021416318.0,,,,262021416318.0,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,990.420.713.406,,935.259.653.118,,990.420.713.406,935.259.653.118,990420713406.0,,935259653118.0,,990420713406.0,935259653118.0
Các khoản phải trả khác,Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,60.006.249.474,,25.772.208.009,,60.006.249.474,25.772.208.009,60006249474.0,,25772208009.0,,60006249474.0,25772208009.0
Cộng,Nợ phải trả tài chính > Cộng,Cộng,1.404.131.078.730,,1.061.268.188.106,,1.404.131.078.730,1.061.268.188.106,1404131078730.0,,1061268188106.0,,1404131078730.0,1061268188106.0
