row_label_raw,row_label_full,col_0,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,TổngVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,-,,,
Thuê tài chính trong năm,Số dư đầu năm > Thuê tài chính trong năm,Thuê tài chính trong năm,83.372.462.738,7.346.274.839,90.718.737.577,83372462738.0,7346274839.0,90718737577.0
Tăng do hợp nhất kinh doanh,Số dư đầu năm > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,233.106.860.500,28.560.462.936,261.667.323.436,233106860500.0,28560462936.0,261667323436.0
Mua lại tài sản cố định thuê tài chính,Số dư đầu năm > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,(16.285.294.833),(6.676.080.521),(22.961.375.354),-16285294833.0,-6676080521.0,-22961375354.0
Khác,Số dư đầu năm > Khác,Khác,206.240.000,1.088.339.801,1.294.579.801,206240000.0,1088339801.0,1294579801.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,300.400.268.405,30.318.997.055,330.719.265.460,300400268405.0,30318997055.0,330719265460.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,-,,,
Khấu hao trong năm,Số dư đầu năm > Khấu hao trong năm,Khấu hao trong năm,11.794.758.647,2.575.968.769,14.370.727.416,11794758647.0,2575968769.0,14370727416.0
Tăng do hợp nhất kinh doanh,Số dư đầu năm > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,42.764.224.967,8.309.482.501,51.073.707.468,42764224967.0,8309482501.0,51073707468.0
Mua lại tài sản cố định thuê tài chính,Số dư đầu năm > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,(9.474.828.167),(4.377.208.222),(13.852.036.389),-9474828167.0,-4377208222.0,-13852036389.0
Khác,Số dư đầu năm > Khác,Khác,-,2.835.210.352,2.835.210.352,,2835210352.0,2835210352.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,45.084.155.447,9.343.453.400,54.427.608.847,45084155447.0,9343453400.0,54427608847.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,-,-,-,,,
Tại ngày cuối năm,Tại ngày đầu năm > Tại ngày cuối năm,Tại ngày cuối năm,255.316.112.958,20.975.543.655,276.291.656.613,255316112958.0,20975543655.0,276291656613.0
