row_label_raw,row_label_full,Đơn vị tư vấn phát hành/bảo lãnh,Số dư cuối năm (VND),numeric__Số dư cuối năm (VND)
Công ty Cổ phần Chứng khoán VIX,Công ty Cổ phần Chứng khoán VIX,Công ty Cổ phần Chứng khoán VIX,3.450.000.000.000,3450000000000.0
Quỹ Đầu tư và Đảm bảo tín dụng (Credit Guarantee and Investment Facility - CGIF),Quỹ Đầu tư và Đảm bảo tín dụng (Credit Guarantee and Investment Facility - CGIF),Quỹ Đầu tư và Đảm bảo tín dụng (Credit Guarantee and Investment Facility - CGIF),1.150.000.000.000,1150000000000.0
Công ty TNHH Chứng khoán Shinhan Việt Nam,Công ty TNHH Chứng khoán Shinhan Việt Nam,Công ty TNHH Chứng khoán Shinhan Việt Nam,700.000.000.000,700000000000.0
Công ty cổ phần chứng khoán VNDIRECT,Công ty cổ phần chứng khoán VNDIRECT,Công ty cổ phần chứng khoán VNDIRECT,500.000.000.000,500000000000.0
Công ty cổ phần chứng khoán SSI,Công ty cổ phần chứng khoán SSI,Công ty cổ phần chứng khoán SSI,400.000.000.000,400000000000.0
Công ty Cổ phần Chứng khoán Eurocapital,Công ty Cổ phần Chứng khoán Eurocapital,Công ty Cổ phần Chứng khoán Eurocapital,220.000.000.000,220000000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(36.457.741.436),-36457741436.0
,,,6.383.542.258.564,6383542258564.0
