row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Công Thương Việt Nam > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam > Ngân hàng TMCP Ngoại thương Việt Nam > Ngân hàng TMCP Kỹ thương Việt Nam,Số dư cuối năm (VND) > 1.892.999.628.803 > 1.121.646.861.823 > 923.277.032.740 > 433.937.625.085,numeric__Số dư cuối năm (VND) > 1.892.999.628.803 > 1.121.646.861.823 > 923.277.032.740 > 433.937.625.085
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,379.530.049.858,379530049858.0
Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,354.035.556.572,354035556572.0
Ngân hàng TNHH MTV HSBC Việt Nam,Ngân hàng TNHH MTV HSBC Việt Nam,Ngân hàng TNHH MTV HSBC Việt Nam,244.106.037.393,244106037393.0
Ngân hàng Đại chúng TNHH KASIKORNBANK TP Hồ Chí Minh,Ngân hàng Đại chúng TNHH KASIKORNBANK TP Hồ Chí Minh,Ngân hàng Đại chúng TNHH KASIKORNBANK TP Hồ Chí Minh,230.000.000.000,230000000000.0
Ngân hàng MayBank,Ngân hàng MayBank,Ngân hàng MayBank,186.318.033.742,186318033742.0
Ngân hàng Cathay United Bank,Ngân hàng Cathay United Bank,Ngân hàng Cathay United Bank,182.048.052.831,182048052831.0
Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,143.431.924.446,143431924446.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,120.704.729.773,120704729773.0
Ngân hàng Siam Commercial Bank Public Company Limited,Ngân hàng Siam Commercial Bank Public Company Limited,Ngân hàng Siam Commercial Bank Public Company Limited,117.324.711.219,117324711219.0
Ngân hàng Bankok Bank,Ngân hàng Bankok Bank,Ngân hàng Bankok Bank,112.500.000.000,112500000000.0
Ngân hàng Bank Sinopac Việt Nam,Ngân hàng Bank Sinopac Việt Nam,Ngân hàng Bank Sinopac Việt Nam,56.499.769.565,56499769565.0
Ngân hàng Quốc tế,Ngân hàng Quốc tế,Ngân hàng Quốc tế,43.296.320.667,43296320667.0
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,39.979.361.839,39979361839.0
Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,39.426.101.068,39426101068.0
Ngân hàng TNHH Chinatrust Commercial,Ngân hàng TNHH Chinatrust Commercial,Ngân hàng TNHH Chinatrust Commercial,32.481.540.354,32481540354.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,20.677.992.158,20677992158.0
Ngân hàng Shinhan Việt Nam,Ngân hàng Shinhan Việt Nam,Ngân hàng Shinhan Việt Nam,10.186.098.895,10186098895.0
Ngân hàng TNHH CTBC Bank,Ngân hàng TNHH CTBC Bank,Ngân hàng TNHH CTBC Bank,9.248.466.488,9248466488.0
Vay cá nhân và đối tượng khác,Vay cá nhân và đối tượng khác,Vay cá nhân và đối tượng khác,39.707.460.850,39707460850.0
,,,6.733.363.356.169,6733363356169.0
