row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc VND,Số cuối năm > Giá trị hợp lý VND,Số đầu năm > Giá gốc VND,Số đầu năm > Giá trị hợp lý VND,numeric__Số cuối năm > Giá gốc VND,numeric__Số cuối năm > Giá trị hợp lý VND,numeric__Số đầu năm > Giá gốc VND,numeric__Số đầu năm > Giá trị hợp lý VND
Công ty Cổ phần Viwaco,Công ty Cổ phần Viwaco,Công ty Cổ phần Viwaco,120.734.325.759,155.506.680.000,121.009.720.280,127.979.100.000,120734325759.0,155506680000.0,121009720280.0,127979100000.0
Công ty Cổ phần Visaho,Công ty Cổ phần Visaho,Công ty Cổ phần Visaho,5.400.000.000,(*),-,-,5400000000.0,,,
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,2.178.670.000,5.081.812.000,2.178.670.000,4.947.963.900,2178670000.0,5081812000.0,2178670000.0,4947963900.0
Công ty Cổ phần phát triển và kinh doanh nhà Vĩnh Phúc,Công ty Cổ phần phát triển và kinh doanh nhà Vĩnh Phúc,Công ty Cổ phần phát triển và kinh doanh nhà Vĩnh Phúc,1.305.017.929,(*),-,-,1305017929.0,,,
Công ty Cổ phần Cầu Xây,Công ty Cổ phần Cầu Xây,Công ty Cổ phần Cầu Xây,1.184.497.242,(*),-,-,1184497242.0,,,
Công ty Cổ phần Công nghệ cao,Công ty Cổ phần Công nghệ cao,Công ty Cổ phần Công nghệ cao,1.057.011.301,(*),1.057.011.301,(*),1057011301.0,,1057011301.0,
Công ty Cổ phần Giấy Tây Đô,Công ty Cổ phần Giấy Tây Đô,Công ty Cổ phần Giấy Tây Đô,590.000.000,(*),-,-,590000000.0,,,
Công ty Cổ phần Viglacera Delta,Công ty Cổ phần Viglacera Delta,Công ty Cổ phần Viglacera Delta,500.000.000,(*),-,-,500000000.0,,,
Công ty Cổ phần Tư vấn Xây dựng Viglacera Land,Công ty Cổ phần Tư vấn Xây dựng Viglacera Land,Công ty Cổ phần Tư vấn Xây dựng Viglacera Land,353.167.173,(*),-,-,353167173.0,,,
Công ty Vinaconex Dung Quất,Công ty Vinaconex Dung Quất,Công ty Vinaconex Dung Quất,125.000.000,(*),125.000.000,-,125000000.0,,125000000.0,
,,,133.427.689.404,,124.370.401.581,,133427689404.0,,124370401581.0,
