row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,4.484.907.389.859,4.436.280.801.385,218.988.287.660,36.767.704.553,-,9.176.944.183.457,4484907389859.0,4436280801385.0,218988287660.0,36767704553.0,,9176944183457.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,18.949.507.174,44.165.803.712,7.062.496.454,4.387.265.396,214.450.000,74.779.522.736,18949507174.0,44165803712.0,7062496454.0,4387265396.0,214450000.0,74779522736.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,261.390.306.584,4.841.781.620.148,86.441.673.130,51.180.000,32.897.460.714,5.222.562.240.576,261390306584.0,4841781620148.0,86441673130.0,51180000.0,32897460714.0,5222562240576.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,4.418.833.250.222,6.361.254.187.063,277.570.295.925,24.358.382.282,150.288.164.050,11.232.304.279.542,4418833250222.0,6361254187063.0,277570295925.0,24358382282.0,150288164050.0,11232304279542.0
Mua lại tài sản cố định thuê tài chính,NGUYÊN GIÁ > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,-,16.285.294.833,6.676.080.521,-,-,22.961.375.354,,16285294833.0,6676080521.0,,,22961375354.0
Giảm do thoái vốn tại Công ty con,NGUYÊN GIÁ > Giảm do thoái vốn tại Công ty con,Giảm do thoái vốn tại Công ty con,-,(149.302.788.026),-,-,-,(149.302.788.026),,-149302788026.0,,,,-149302788026.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.801.667.296),(135.566.154.127),(9.206.214.830),(1.693.719.542),-,(151.267.755.795),-4801667296.0,-135566154127.0,-9206214830.0,-1693719542.0,,-151267755795.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,166.688.116,(5.986.261.319),5.819.573.203,-,-,-,166688116.0,-5986261319.0,5819573203.0,,,
Giảm do phá dỡ làm dự án,NGUYÊN GIÁ > Giảm do phá dỡ làm dự án,Giảm do phá dỡ làm dự án,(28.019.536.197),-,-,-,-,(28.019.536.197),-28019536197.0,,,,,-28019536197.0
Tăng/(Giảm) khác,NGUYÊN GIÁ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,(618.499.246),1.853.283.412,3.195.688.375,158.832.345,(131.030.022),4.458.274.864,-618499246.0,1853283412.0,3195688375.0,158832345.0,-131030022.0,4458274864.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,9.150.807.439.216,15.410.765.787.081,596.547.880.438,64.029.645.034,183.269.044.742,25.405.419.796.511,9150807439216.0,15410765787081.0,596547880438.0,64029645034.0,183269044742.0,25405419796511.0
