row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Công Thương Việt Nam,Số dư cuối năm (VND) > 2.898.300.397.818,numeric__Số dư cuối năm (VND) > 2.898.300.397.818
Ngân hàng Landesbank Baden - Wurttemberg,Ngân hàng Landesbank Baden - Wurttemberg,Ngân hàng Landesbank Baden - Wurttemberg,1.627.900.128.423,1627900128423.0
Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,1.090.000.000.000,1090000000000.0
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,815.669.871.223,815669871223.0
Ngân hàng Phát triển Việt Nam,Ngân hàng Phát triển Việt Nam,Ngân hàng Phát triển Việt Nam,768.284.336.259,768284336259.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,592.868.779.546,592868779546.0
Ngân hàng TNHH MTV Standard Chartered,Ngân hàng TNHH MTV Standard Chartered,Ngân hàng TNHH MTV Standard Chartered,351.844.819.001,351844819001.0
Ngân hàng TNHH MTV Woori Việt Nam,Ngân hàng TNHH MTV Woori Việt Nam,Ngân hàng TNHH MTV Woori Việt Nam,200.000.000.000,200000000000.0
Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,188.882.090.071,188882090071.0
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,172.264.512.000,172264512000.0
Công ty cho thuê tài chính Ngân hàng TMCP Công thương Việt Nam,Công ty cho thuê tài chính Ngân hàng TMCP Công thương Việt Nam,Công ty cho thuê tài chính Ngân hàng TMCP Công thương Việt Nam,120.098.015.249,120098015249.0
Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,50.000.000.009,50000000009.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,29.836.649.550,29836649550.0
Công ty cho thuê tài chính Ngân hàng TMCP Ngoại thương Việt Nam,Công ty cho thuê tài chính Ngân hàng TMCP Ngoại thương Việt Nam,Công ty cho thuê tài chính Ngân hàng TMCP Ngoại thương Việt Nam,14.034.533.888,14034533888.0
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,5.751.808.129,5751808129.0
Ngân sách tỉnh Hải Dương,Ngân sách tỉnh Hải Dương,Ngân sách tỉnh Hải Dương,5.682.664.168,5682664168.0
Công ty Cho thuê tài chính TNHH MTV Quốc tế Chailease,Công ty Cho thuê tài chính TNHH MTV Quốc tế Chailease,Công ty Cho thuê tài chính TNHH MTV Quốc tế Chailease,2.831.444.523,2831444523.0
Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,2.601.120.000,2601120000.0
Công ty cho thuê tài chính TNHH BIDV-Sumi Trust,Công ty cho thuê tài chính TNHH BIDV-Sumi Trust,Công ty cho thuê tài chính TNHH BIDV-Sumi Trust,2.503.199.413,2503199413.0
Quỹ Bảo vệ Môi trường,Quỹ Bảo vệ Môi trường,Quỹ Bảo vệ Môi trường,800.000.000,800000000.0
Bên cho vay khác,Bên cho vay khác,Bên cho vay khác,65.082.655.843,65082655843.0
,,,9.005.237.025.113,9005237025113.0
