row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Quyền khai thác mặt nước,"Chi phí đền bù, chuẩn bị mật bằng","Giá trị thương hiệu, nhân hiệu hàng hóa, bản quyền",Phần mềm máy tính,Giấy phép và giấy nhượng quyền,Tổng,numeric__Quyền sử dụng đất,numeric__Quyền khai thác mặt nước,"numeric__Chi phí đền bù, chuẩn bị mật bằng","numeric__Giá trị thương hiệu, nhân hiệu hàng hóa, bản quyền",numeric__Phần mềm máy tính,numeric__Giấy phép và giấy nhượng quyền,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,60.703.338.362,384.184.174.786,-,-,47.988.860.542,40.321.778.266,533.198.151.956,60703338362.0,384184174786.0,,,47988860542.0,40321778266.0,533198151956.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,-,-,21.512.032.650,-,21.512.032.650,,,,,21512032650.0,,21512032650.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,164.330.404.786,-,93.259.704.164,12.171.705.697,17.650.623.282,1.517.635.000,288.930.072.929,164330404786.0,,93259704164.0,12171705697.0,17650623282.0,1517635000.0,288930072929.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,-,(913.536.000),-,(913.536.000),,,,,-913536000.0,,-913536000.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,-,-,-,(2.258.000.000),-,(2.258.000.000),,,,,-2258000000.0,,-2258000000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,225.033.743.148,384.184.174.786,93.259.704.164,12.171.705.697,83.979.980.474,41.839.413.266,840.468.721.535,225033743148.0,384184174786.0,93259704164.0,12171705697.0,83979980474.0,41839413266.0,840468721535.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,12.695.602.409,29.720.799.740,-,-,14.125.585.769,504.022.227,57.046.010.145,12695602409.0,29720799740.0,,,14125585769.0,504022227.0,57046010145.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,3.722.473.014,10.783.391.556,1.640.080.347,2.094.226.608,11.483.947.545,2.175.346.441,31.899.465.511,3722473014.0,10783391556.0,1640080347.0,2094226608.0,11483947545.0,2175346441.0,31899465511.0
Tăng do hợp nhất kinh doanh,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,13.190.698.435,-,16.729.625.512,7.157.028.296,6.018.829.945,1.078.186.125,44.174.368.313,13190698435.0,,16729625512.0,7157028296.0,6018829945.0,1078186125.0,44174368313.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,-,(222.835.722),-,(222.835.722),,,,,-222835722.0,,-222835722.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,-,-,-,-,(2.258.000.000),-,(2.258.000.000),,,,,-2258000000.0,,-2258000000.0
Tại ngày cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày cuối năm,Tại ngày cuối năm,29.608.773.858,40.504.191.296,18.369.705.859,9.251.254.904,29.147.527.537,3.757.554.793,130.639.008.247,29608773858.0,40504191296.0,18369705859.0,9251254904.0,29147527537.0,3757554793.0,130639008247.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,48.007.735.953,354.463.375.046,-,-,33.863.274.773,39.817.756.039,476.152.141.811,48007735953.0,354463375046.0,,,33863274773.0,39817756039.0,476152141811.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,195.424.969.290,343.679.983.490,74.889.998.305,2.920.450.793,54.832.452.937,38.081.858.473,709.829.713.288,195424969290.0,343679983490.0,74889998305.0,2920450793.0,54832452937.0,38081858473.0,709829713288.0
