row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thiết bị điện,Sản xuất và kinh doanh điện và nước,"Bán và cho thuê bất động sản, hạ tầng khu công nghiệp",Sản xuất và kinh doanh vật liệu xây dựng,Khác,Tổng cộng,numeric__Sản xuất và kinh doanh thiết bị điện,numeric__Sản xuất và kinh doanh điện và nước,"numeric__Bán và cho thuê bất động sản, hạ tầng khu công nghiệp",numeric__Sản xuất và kinh doanh vật liệu xây dựng,numeric__Khác,numeric__Tổng cộng
Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,,,,,,
Doanh thu thuần,Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày > Doanh thu thuần,Doanh thu thuần,18.539.491.749.887,1.133.143.478.877,2.936.556.033.708,5.805.595.071.446,163.612.300.531,28.578.398.634.449,18539491749887.0,1133143478877.0,2936556033708.0,5805595071446.0,163612300531.0,28578398634449.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,1.810.770.608.918,539.491.192.473,784.105.409.075,1.199.700.642.952,38.953.441.981,4.373.021.295.399(2.316.028.478.963),1810770608918.0,539491192473.0,784105409075.0,1199700642952.0,38953441981.0,
(Chỉ phí) không phân bổ,(Chỉ phí) không phân bổ,(Chỉ phí) không phân bổ,,,,,,4.373.021.295.399(2.316.028.478.963),,,,,,
Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,2.056.992.816.436(390.633.514.372),,,,,,
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,2.056.992.816.436(390.633.514.372),,,,,,
Lợi nhuận thuần sau thuế,Chi phí thuế thu nhập doanh nghiệp > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,1.666.359.302.064,,,,,,1666359302064.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,12.596.824.295.931,9.368.593.175.949,11.774.740.950.343,10.287.411.883.758,74.410.011.855,44.101.980.317.836,12596824295931.0,9368593175949.0,11774740950343.0,10287411883758.0,74410011855.0,44101980317836.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,17.087.366.673.810,,,,,,17087366673810.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,61.189.346.991.646,,,,,,61189346991646.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,16.029.211.907.383,7.072.799.685.430,11.377.791.503.453,2.089.123.904.064,(17.227.182.757),36.551.699.817.573,16029211907383.0,7072799685430.0,11377791503453.0,2089123904064.0,-17227182757.0,36551699817573.0
Công nợ không phân bổ,Tài sản và công nợ > Công nợ không phân bổ,Công nợ không phân bổ,,,,,,4.139.845.569.337,,,,,,4139845569337.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,,,40.691.545.386.910,,,,,,40691545386910.0
