row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Phải trả người bán sản xuất kinh doanh thiết bị điện,Phải trả người bán ngắn hạn > Phải trả người bán sản xuất kinh doanh thiết bị điện,Phải trả người bán sản xuất kinh doanh thiết bị điện,2.187.923.026.813,2.187.923.026.813,2.811.762.285.903,2.811.762.285.903,2187923026813.0,2187923026813.0,2811762285903.0,2811762285903.0
- LS Nikko Cooper Inc,Phải trả người bán ngắn hạn > - LS Nikko Cooper Inc,- LS Nikko Cooper Inc,1.369.892.556.670,1.369.892.556.670,2.060.986.873.312,2.060.986.873.312,1369892556670.0,1369892556670.0,2060986873312.0,2060986873312.0
- Phải trả các người bán khác,Phải trả người bán ngắn hạn > - Phải trả các người bán khác,- Phải trả các người bán khác,818.030.470.143,818.030.470.143,750.775.412.591,750.775.412.591,818030470143.0,818030470143.0,750775412591.0,750775412591.0
Phải trả người bán sản xuất kinh doanh điện và nước,Phải trả người bán ngắn hạn > Phải trả người bán sản xuất kinh doanh điện và nước,Phải trả người bán sản xuất kinh doanh điện và nước,195.069.585.793,195.069.585.793,128.808.738.967,128.808.738.967,195069585793.0,195069585793.0,128808738967.0,128808738967.0
"Phải trả người bán liên quan bán, cho thuê bất động sản, hạ tầng khu công nghiệp","Phải trả người bán ngắn hạn > Phải trả người bán liên quan bán, cho thuê bất động sản, hạ tầng khu công nghiệp","Phải trả người bán liên quan bán, cho thuê bất động sản, hạ tầng khu công nghiệp",421.353.761.247,421.353.761.247,-,-,421353761247.0,421353761247.0,,
Phải trả người bán liên quan sản xuất và kinh doanh vật liệu xây dựng,Phải trả người bán ngắn hạn > Phải trả người bán liên quan sản xuất và kinh doanh vật liệu xây dựng,Phải trả người bán liên quan sản xuất và kinh doanh vật liệu xây dựng,881.088.049.055,881.059.458.519,-,-,881088049055.0,881059458519.0,,
Phải trả người bán khác,Phải trả người bán ngắn hạn > Phải trả người bán khác,Phải trả người bán khác,5.663.367.196,5.663.367.196,23.944.713.555,23.944.713.555,5663367196.0,5663367196.0,23944713555.0,23944713555.0
,,,3.691.097.790.104,3.691.069.199.568,2.964.515.738.425,2.964.515.738.425,3691097790104.0,3691069199568.0,2964515738425.0,2964515738425.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Phải trả người bán ngắn hạn là các bên liên quan (chi tiết tại Thuyết minh số 39),Trong đó: > Phải trả người bán ngắn hạn là các bên liên quan (chi tiết tại Thuyết minh số 39),Phải trả người bán ngắn hạn là các bên liên quan (chi tiết tại Thuyết minh số 39),87.104.209.622,87.104.209.622,8.606.526.446,8.606.526.446,87104209622.0,87104209622.0,8606526446.0,8606526446.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,,,,
Phải trả người bán sản xuất kinh doanh thiết bị điện,Phải trả người bán dài hạn > Phải trả người bán sản xuất kinh doanh thiết bị điện,Phải trả người bán sản xuất kinh doanh thiết bị điện,9.259.078.400,9.259.078.400,72.620.064.000,72.620.064.000,9259078400.0,9259078400.0,72620064000.0,72620064000.0
,,,9.259.078.400,9.259.078.400,72.620.064.000,72.620.064.000,9259078400.0,9259078400.0,72620064000.0,72620064000.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Phải trả người bán dài hạn là các bên liên quan (chi tiết tại Thuyết minh số 39),Trong đó: > Phải trả người bán dài hạn là các bên liên quan (chi tiết tại Thuyết minh số 39),Phải trả người bán dài hạn là các bên liên quan (chi tiết tại Thuyết minh số 39),9.259.078.400,9.259.078.400,72.620.064.000,72.620.064.000,9259078400.0,9259078400.0,72620064000.0,72620064000.0
