row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữuVND,Thặng dư vốn cổ phầnVND,Vốn khác của chủ sở hữuVND,Cổ phiếu quỹVND,Chênh lệch tỷ giá hối đoáiVND,Quỹ đầu tư phát triểnVND,Lợi nhuận sau thuế chưa phân phốiVND,Lợi ích cổ đông không kiểm soátVND,Tổng cộngVND,numeric__Vốn góp của chủ sở hữuVND,numeric__Thặng dư vốn cổ phầnVND,numeric__Vốn khác của chủ sở hữuVND,numeric__Cổ phiếu quỹVND,numeric__Chênh lệch tỷ giá hối đoáiVND,numeric__Quỹ đầu tư phát triểnVND,numeric__Lợi nhuận sau thuế chưa phân phốiVND,numeric__Lợi ích cổ đông không kiểm soátVND,numeric__Tổng cộngVND
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,4.882.440.000.000,13.074.761.451,77.388.963.577,(102.997.990.700),-,76.059.032.630,1.900.046.809.522,1.362.677.489.262,8.208.689.065.742,4882440000000.0,13074761451.0,77388963577.0,-102997990700.0,,76059032630.0,1900046809522.0,1362677489262.0,8208689065742.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,1.038.701.162.390,627.658.139.674,1.666.359.302.064,,,,,,,1038701162390.0,627658139674.0,1666359302064.0
Tăng vốn trong năm (i),Tăng vốn trong năm (i),Tăng vốn trong năm (i),2.929.464.000.000,606.895.840.000,-,-,-,-,-,-,3.536.359.840.000,2929464000000.0,606895840000.0,,,,,,,3536359840000.0
Phát hành cổ phiếu từ nguồn vốn chủ sở hữu (ii),Phát hành cổ phiếu từ nguồn vốn chủ sở hữu (ii),Phát hành cổ phiếu từ nguồn vốn chủ sở hữu (ii),703.053.930.000,(124.000.000),-,-,-,-,(703.053.930.000),-,(124.000.000),703053930000.0,-124000000.0,,,,,-703053930000.0,,-124000000.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,-,-,(362.856.571.259),(362.856.571.259),,,,,,,,-362856571259.0,-362856571259.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,-,31.673.411.029,(31.673.411.029),-,-,,,,,,31673411029.0,-31673411029.0,,
Trích quỹ khen thưởng phúc lợi và thù lao HDQT (iii),Trích quỹ khen thưởng phúc lợi và thù lao HDQT (iii),Trích quỹ khen thưởng phúc lợi và thù lao HDQT (iii),-,-,-,-,-,-,(50.801.081.970),(42.667.075.337),(93.468.157.307),,,,,,,-50801081970.0,-42667075337.0,-93468157307.0
Góp vốn vào công ty con Mua thêm lợi ích từ cổ đông không kiểm soát,Góp vốn vào công ty con Mua thêm lợi ích từ cổ đông không kiểm soát,Góp vốn vào công ty con Mua thêm lợi ích từ cổ đông không kiểm soát,-,-,-,-,-,-,525.261.020.295,1.050.466.591.457,1.575.727.611.752,,,,,,,525261020295.0,1050466591457.0,1575727611752.0
Góp vốn vào công ty con Mua thêm lợi ích từ cổ đông không kiểm soát,Góp vốn vào công ty con Mua thêm lợi ích từ cổ đông không kiểm soát,Góp vốn vào công ty con Mua thêm lợi ích từ cổ đông không kiểm soát,-,-,-,-,-,-,(61.078.847.775),(46.463.598.786),(107.542.446.561),,,,,,,-61078847775.0,-46463598786.0,-107542446561.0
Tái cấu trúc Mua công ty con Chuyển đổi Báo cáo tài chính công ty con Công ty con tái phát hành cổ phiếu quỹ,Tái cấu trúc Mua công ty con Chuyển đổi Báo cáo tài chính công ty con Công ty con tái phát hành cổ phiếu quỹ,Tái cấu trúc Mua công ty con Chuyển đổi Báo cáo tài chính công ty con Công ty con tái phát hành cổ phiếu quỹ,-,-,-,-,-,-,2.857.839.224,(2.857.839.224),-,,,,,,,2857839224.0,-2857839224.0,
