row_label_raw,row_label_full,STT,Tên công ty con,Trụ sở chính,Tỷ lệ phần sở hữu (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,numeric__Tên công ty con,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Hoạt động chính
8.,8.,8.,Công ty Cổ phần Viglacera Tiên Sơn,Bắc Ninh,"51,00%","51,00%",Sản xuất và kinh doanh gạch ốp lát,,,0.51,0.51,
9.,9.,9.,Công ty Cổ phần Viglacera Hà Nội,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch ốp lát,,,0.51,0.51,
10.,10.,10.,Công ty Cổ phần Bê tông khí Viglacera,Bắc Ninh,"96,19%","97,69%","Sản xuất gạch, panel, bê tông khí chung áp",,,0.9619,0.9769,
11.,11.,11.,Công ty Cổ phần Bao bì và Má phanh Viglacera,Hà Nội,"51,00%","51,00%","Sản xuất và kinh doanh bao bì, má phanh",,,0.51,0.51,
12.,12.,12.,Công ty Cổ phần Viglacera Hạ Long,Quảng Ninh,"50,48%","50,48%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.5047999999999999,0.5047999999999999,
13.,13.,13.,Công ty Cổ phần Từ Liêm,Hà Nội,"55,92%","55,92%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.5592,0.5592,
14.,14.,14.,Công ty Cổ phần 382 Đông Anh,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.51,0.51,
15.,15.,15.,Công ty Cổ phần Gốm xây dựng Hữu Hưng,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.51,0.51,
16.,16.,16.,Công ty Cổ phần Tư vấn Viglacera,Hà Nội,"76,89%","76,89%","Lập dự án, thiết kế các công trình",,,0.7689,0.7689,
17.,17.,17.,Công ty TNHH CHAO - Viglacera,Hà Nội,100%,100%,"Dịch vụ, du lịch, nhà hàng",,,1.0,1.0,
18.,18.,18.,Công ty Cổ phần Phát triển Khu Công nghiệp Viglacera Yên Mỹ - Hưng Yên,Hưng Yên,"60,00%","60,00%",Đầu tư xây dựng và kinh doanh hạ tầng khu công nghiệp,,,0.6,0.6,
19.,19.,19.,Công ty ViMariel - CTCP,Cuba,100%,"99,90%",Kinh doanh hạ tầng khu công nghiệp,,,1.0,0.9990000000000001,
20.,20.,20.,Công ty TNHH Kính nổi siêu trắng Phú Mỹ,Bà Rịa - Vũng Tàu,"65,00%","65,00%",Sản xuất và kinh doanh kính,,,0.65,0.65,
21.,21.,21.,Công ty TNHH MTV Thương mại Viglacera Hạ Long,Quảng Ninh,"50,48%",100%,Kinh doanh vật liệu xây dựng,,,0.5047999999999999,1.0,
22.,22.,22.,Công ty Cổ phần Gạch CLINKER Viglacera,Quảng Ninh,"50,44%","99,92%",Sản xuất vật liệu xây dựng,,,0.5044,0.9992,
23.,23.,23.,Công ty Cổ phần kinh doanh Gạch ốp lát Viglacera,Hà Nội,"51,02%",100%,Kinh doanh các sản phẩm gạch Granite,,,0.5102,1.0,
24.,24.,24.,Công ty TNHH MTV Lắp kính dụng Viglacera,Bắc Ninh,"86,41%",100%,"Sản xuất, kinh doanh kính và các vật liệu thủy tinh",,,0.8641,1.0,
25.,25.,25.,Công ty Cổ phần Viglacera Can Lộc,Hà Tĩnh,"57,51%",100%,Sản xuất vật liệu xây dựng,,,0.5751,1.0,
26.,26.,26.,Công ty TNHH Thi công Hạ tầng Viglacera Yên Mỹ,Hưng Yên,"60,00%",100%,Đầu tư xây dựng,,,0.6,1.0,
