row_label_raw,row_label_full,Công ty liên kết,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Công ty liên kết,Công ty liên kết,Công ty liên kết,Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết (%),Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết (%),,,,
Công ty TNHH S.A.S - CTAMAD,Công ty liên kết > Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,"21,55%","35,00%","27,05%","35,00%",0.2155,0.35,0.2705,0.35
Tổng Công ty Thiết bị điện Đông Anh - CTCP,Công ty liên kết > Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,"16,98%","24,90%","22,38%","24,95%",0.1698,0.249,0.2238,0.2495
Tổng Công ty Viglacera - CTCP,Công ty liên kết > Tổng Công ty Viglacera - CTCP,Tổng Công ty Viglacera - CTCP,(i),(i),"46,07%","46,07%",,,0.4607,0.4607
Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Công ty liên kết > Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,"24,65%","25,51%","25,51%","25,51%",0.2465,0.2551,0.2551,0.2551
Công ty TNHH Kính nổi Việt Nam,Công ty liên kết > Công ty TNHH Kính nổi Việt Nam,Công ty TNHH Kính nổi Việt Nam,"14,39%","30,00%",(ii),(ii),0.1439,0.3,,
Công ty SanVig- CTCP,Công ty liên kết > Công ty SanVig- CTCP,Công ty SanVig- CTCP,"10,28%","50,00%",(ii),(ii),0.10279999999999999,0.5,,
Công ty Cổ phần Viglacera Đông Triều,Công ty liên kết > Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,"9,68%","40,00%",(ii),(ii),0.0968,0.4,,
Công ty Cổ phần Viglacera Hạ long II,Công ty liên kết > Công ty Cổ phần Viglacera Hạ long II,Công ty Cổ phần Viglacera Hạ long II,"9,68%","40,00%",(ii),(ii),0.0968,0.4,,
Công ty Cổ phần Gạch ngói Viglacera Từ Sơn,Công ty liên kết > Công ty Cổ phần Gạch ngói Viglacera Từ Sơn,Công ty Cổ phần Gạch ngói Viglacera Từ Sơn,"11,96%","24,93%",(ii),(ii),0.11960000000000001,0.2493,,
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty liên kết > Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,"11,99%","25,00%",(ii),(ii),0.1199,0.25,,
Công ty Cổ phần Gạch chịu lửa Cầu Dương,Công ty liên kết > Công ty Cổ phần Gạch chịu lửa Cầu Dương,Công ty Cổ phần Gạch chịu lửa Cầu Dương,"11,99%","25,00%",(ii),(ii),0.1199,0.25,,
Công ty Cổ phần Vinafacade,Công ty liên kết > Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,"8,64%","20,86%",(ii),(ii),0.0864,0.2086,,
Công ty Cổ phần Magno GMHB,Công ty liên kết > Công ty Cổ phần Magno GMHB,Công ty Cổ phần Magno GMHB,"10,97%","30,00%",(ii),(ii),0.1097,0.3,,
Công ty TNHH Kính nổi siêu trắng Phú Mỹ,Công ty TNHH Kính nổi siêu trắng Phú Mỹ,Công ty TNHH Kính nổi siêu trắng Phú Mỹ,(i),(i),(ii),(ii),,,,
