row_label_raw,row_label_full,col_0,Số đầu năm,Mua thêm vốn góp,Tăng do hợp nhất kinh doanh,"Phần lợi nhuận/(lỗ) từ công ty liên doanh, liên kết",Phân phối Quỹ và điều chỉnh khác,Cổ tức được chia trong kỳ,Chuyển thành công ty con,Số cuối năm,numeric__Số đầu năm,numeric__Mua thêm vốn góp,numeric__Tăng do hợp nhất kinh doanh,"numeric__Phần lợi nhuận/(lỗ) từ công ty liên doanh, liên kết",numeric__Phân phối Quỹ và điều chỉnh khác,numeric__Cổ tức được chia trong kỳ,numeric__Chuyển thành công ty con,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,284.222.151.407,-,-,(7.377.971.193),-,-,-,276.844.180.214,284222151407.0,,,-7377971193.0,,,,276844180214.0
Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,526.399.854.009,-,-,26.250.719.686,(3.629.363.509),(12.132.205.500),-,536.889.004.686,526399854009.0,,,26250719686.0,-3629363509.0,-12132205500.0,,536889004686.0
Tổng Công ty Viglacera - CTCP,Tổng Công ty Viglacera - CTCP,Tổng Công ty Viglacera - CTCP,4.657.966.079.489,-,-,127.714.038.817,(7.439.853.955),-,(4.778.240.264.351),-,4657966079489.0,,,127714038817.0,-7439853955.0,,-4778240264351.0,
Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,215.777.448.206,-,-,2.497.870.175,-,-,-,218.275.318.381,215777448206.0,,,2497870175.0,,,,218275318381.0
Công ty TNHH Kính nối Việt Nam,Công ty TNHH Kính nối Việt Nam,Công ty TNHH Kính nối Việt Nam,-,-,294.612.434.422,80.317.013.700,-,-,-,374.929.448.122,,,294612434422.0,80317013700.0,,,,374929448122.0
Công ty SanVig - CTCP,Công ty SanVig - CTCP,Công ty SanVig - CTCP,-,5.305.671.857,125.816.095.024,6.417.063.600,-,(277.507.369),-,137.261.323.112,,5305671857.0,125816095024.0,6417063600.0,,-277507369.0,,137261323112.0
Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,-,-,60.602.550.848,6.599.421.991,,(2.000.000.000),-,65.201.972.839,,,60602550848.0,6599421991.0,,-2000000000.0,,65201972839.0
Công ty Cổ phần Viglacera Hạ long II,Công ty Cổ phần Viglacera Hạ long II,Công ty Cổ phần Viglacera Hạ long II,-,-,28.174.899.670,(5.029.554.260),,-,-,23.145.345.410,,,28174899670.0,-5029554260.0,,,,23145345410.0
Công ty Cổ phần Gạch ngói Viglacera Từ Sơn,Công ty Cổ phần Gạch ngói Viglacera Từ Sơn,Công ty Cổ phần Gạch ngói Viglacera Từ Sơn,-,-,9.365.311.331,(1.111.561.467),-,-,-,8.253.749.864,,,9365311331.0,-1111561467.0,,,,8253749864.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,-,-,6.933.007.665,324.516.604,-,(300.000.000),-,6.957.524.269,,,6933007665.0,324516604.0,,-300000000.0,,6957524269.0
Công ty Cổ phần Gạch chịu lửa Cầu Đường,Công ty Cổ phần Gạch chịu lửa Cầu Đường,Công ty Cổ phần Gạch chịu lửa Cầu Đường,-,-,2.279.148.402,(470.445.046),-,-,-,1.808.703.356,,,2279148402.0,-470445046.0,,,,1808703356.0
Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,-,-,909.380.000,-,-,-,-,909.380.000,,,909380000.0,,,,,909380000.0
Công ty Cổ phần Magno GMHB,Công ty Cổ phần Magno GMHB,Công ty Cổ phần Magno GMHB,-,-,226.185.000,-,-,-,-,226.185.000,,,226185000.0,,,,,226185000.0
Công ty TNHH Kính nối siêu trắng Phú Mỹ,Công ty TNHH Kính nối siêu trắng Phú Mỹ,Công ty TNHH Kính nối siêu trắng Phú Mỹ,-,-,311.930.932.430,19.236.132.301,-,-,(331.167.064.731),-,,,311930932430.0,19236132301.0,,,-331167064731.0,
,,,5.684.365.533.111,5.305.671.857,840.849.944.792,255.367.244.908,(11.069.217.464),(14.709.712.869),(5.109.407.329.082),1.650.702.135.253,5684365533111.0,5305671857.0,840849944792.0,255367244908.0,-11069217464.0,-14709712869.0,-5109407329082.0,1650702135253.0
