row_label_raw,row_label_full,Bên liên quan,Mỗi quan hệ,numeric__Mỗi quan hệ
Công ty Cổ phần Đầu tư Khu công nghiệp Đầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu công nghiệp Đầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu công nghiệp Đầu khí Long Sơn,Công ty liên kết,
Công ty TNHH S.A.S. - CTAMAD,Công ty TNHH S.A.S. - CTAMAD,Công ty TNHH S.A.S. - CTAMAD,Công ty liên kết,
Tổng Công ty Thiết bị điện Đông Anh - Công ty Cổ phần,Tổng Công ty Thiết bị điện Đông Anh - Công ty Cổ phần,Tổng Công ty Thiết bị điện Đông Anh - Công ty Cổ phần,Công ty liên kết,
Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,Công ty liên kết,
Công ty Cổ phần Đầu tư & Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư & Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư & Xuất nhập khẩu Viglacera,Công ty liên kết,
Công ty Cổ phần Magno GMHB,Công ty Cổ phần Magno GMHB,Công ty Cổ phần Magno GMHB,Công ty liên kết,
Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty liên kết,
Công ty Cổ phần Vigalcera Đông Triều,Công ty Cổ phần Vigalcera Đông Triều,Công ty Cổ phần Vigalcera Đông Triều,Công ty liên kết,
Công ty Cổ phần Gốm xây dựng Yên Hưng,Công ty Cổ phần Gốm xây dựng Yên Hưng,Công ty Cổ phần Gốm xây dựng Yên Hưng,Công ty liên kết,
Công ty Cổ phần Viglacera Hạ Long II,Công ty Cổ phần Viglacera Hạ Long II,Công ty Cổ phần Viglacera Hạ Long II,Công ty liên kết,
Công ty Cổ phần Viglacera Từ Sơn,Công ty Cổ phần Viglacera Từ Sơn,Công ty Cổ phần Viglacera Từ Sơn,Công ty liên kết,
Công ty SanVig - CTCP,Công ty SanVig - CTCP,Công ty SanVig - CTCP,Công ty liên kết,
Công ty TNHH Kính nổi Việt Nam (VFG),Công ty TNHH Kính nổi Việt Nam (VFG),Công ty TNHH Kính nổi Việt Nam (VFG),Công ty liên kết,
Công ty Cổ phần Chứng khoán VIX,Công ty Cổ phần Chứng khoán VIX,Công ty Cổ phần Chứng khoán VIX,Bên liên quan của thành viên HĐQT,
Công ty Cổ phần K.I.P Việt Nam,Công ty Cổ phần K.I.P Việt Nam,Công ty Cổ phần K.I.P Việt Nam,Bên liên quan của thành viên HĐQT,
