row_label_raw,row_label_full,col_0,Lợi thế thương mạiVND,numeric__Lợi thế thương mạiVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,799.038.642.731,799038642731.0
Tăng do mua công ty con,NGUYÊN GIÁ > Tăng do mua công ty con,Tăng do mua công ty con,1.278.629.793.099,1278629793099.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,2.077.668.435.830,2077668435830.0
PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,
Số đầu năm,PHÂN BỔ LỦY KẾ > Số đầu năm,Số đầu năm,220.841.651.304,220841651304.0
Phân bổ trong năm,PHÂN BỔ LỦY KẾ > Phân bổ trong năm,Phân bổ trong năm,175.553.118.210,175553118210.0
Số cuối năm,PHÂN BỔ LỦY KẾ > Số cuối năm,Số cuối năm,396.394.769.514,396394769514.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,578.196.991.427,578196991427.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.681.273.666.316,1681273666316.0
