row_label_raw,row_label_full,Nội dung,31/12/2025 > Giá gốc,31/12/2025 > Dự phòng,31/12/2025 > Tỷ lệ phần vốn (%),31/12/2024 > Giá gốc,31/12/2024 > Dự phòng,31/12/2024 > Tỷ lệ phần vốn (%),numeric__31/12/2025 > Giá gốc,numeric__31/12/2025 > Dự phòng,numeric__31/12/2025 > Tỷ lệ phần vốn (%),numeric__31/12/2024 > Giá gốc,numeric__31/12/2024 > Dự phòng,numeric__31/12/2024 > Tỷ lệ phần vốn (%)
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,719.600,(403.606),,719.600,(348.356),,719600.0,-403606.0,,719600.0,-348356.0,
Công ty CP Khoáng sản Sài Gòn - Quy Nhơn (i),Công ty CP Khoáng sản Sài Gòn - Quy Nhơn (i),Công ty CP Khoáng sản Sài Gòn - Quy Nhơn (i),273.700,(266.630),"3,18%",273.700,(211.560),"3,18%",273700.0,-266630.0,0.0318,273700.0,-211560.0,0.0318
Công ty CP ĐT Sài Gòn (ii),Công ty CP ĐT Sài Gòn (ii),Công ty CP ĐT Sài Gòn (ii),338.200,(46.976),"11,00%",338.200,(46.796),"11,00%",338200.0,-46976.0,0.11,338200.0,-46796.0,0.11
Công ty CP Chứng khoán Navibank (iii),Công ty CP Chứng khoán Navibank (iii),Công ty CP Chứng khoán Navibank (iii),17.700,-,"7,02%",17.700,-,"7,02%",17700.0,,0.0702,17700.0,,0.0702
Công ty CP Đầu tư Phát triển nhà máy điện Sài Gòn - Bình Thuận (iv),Công ty CP Đầu tư Phát triển nhà máy điện Sài Gòn - Bình Thuận (iv),Công ty CP Đầu tư Phát triển nhà máy điện Sài Gòn - Bình Thuận (iv),90.000,(90.000),"9,00%",90.000,(90.000),"9,00%",90000.0,-90000.0,0.09,90000.0,-90000.0,0.09
Tổng cộng,Tổng cộng,Tổng cộng,719.600,(403.606),,719.600,(348.356),,719600.0,-403606.0,,719600.0,-348356.0,
