row_label_raw,row_label_full,5.3 Phân tích dư nợ cho vay theo ngành,5.3 Phân tích dư nợ cho vay theo ngành_1,5.3 Phân tích dư nợ cho vay theo ngành_2,numeric__5.3 Phân tích dư nợ cho vay theo ngành_1,numeric__5.3 Phân tích dư nợ cho vay theo ngành_2
,,,31/12/2025,31/12/2024,,
"Nông nghiệp, lâm nghiệp và thuỷ sản","Nông nghiệp, lâm nghiệp và thuỷ sản","Nông nghiệp, lâm nghiệp và thuỷ sản",776.365,718.772,776365.0,718772.0
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",3.141.970,1.990.505,3141970.0,1990505.0
Xây dựng và kinh doanh bất động sản,Xây dựng và kinh doanh bất động sản,Xây dựng và kinh doanh bất động sản,36.903.911,28.306.905,36903911.0,28306905.0
"Bán buôn và bán lẻ; sửa chữa ô tô,mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô,mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô,mô tô, xe máy và xe có động cơ khác",5.813.629,3.883.557,5813629.0,3883557.0
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,4.007.722,2.722.327,4007722.0,2722327.0
Thông tin và truyền thống,Thông tin và truyền thống,Thông tin và truyền thống,299.525,799.147,299525.0,799147.0
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",216.933,45.918,216933.0,45918.0
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,3.444.822,4.774.614,3444822.0,4774614.0
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,3.604.409,109.527,3604409.0,109527.0
Các ngành khác,Các ngành khác,Các ngành khác,10.882.953,7.560.896,10882953.0,7560896.0
Cá nhân,Cá nhân,Cá nhân,28.452.354,20.262.552,28452354.0,20262552.0
Tổng cộng,Tổng cộng,Tổng cộng,97.544.593,71.174.720,97544593.0,71174720.0
