row_label_raw,row_label_full,CHÌ TIÊU,Thuyết minh,31/12/2025,31/12/2024,numeric__Thuyết minh,numeric__31/12/2025,numeric__31/12/2024
X. Tài sản cố định,X. Tài sản cố định,X. Tài sản cố định,,799.778,922.110,,799778.0,922110.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,V.9,233.619,208.567,,233619.0,208567.0
a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,,426.824,397.059,,426824.0,397059.0
b. Khấu hao tài sản cố định,b. Khấu hao tài sản cố định,b. Khấu hao tài sản cố định,,(193.205),(188.492),,-193205.0,-188492.0
2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,,-,-,,,
3. Tài sản cố định vô hình,2. Tài sản cố định thuê tài chính > 3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,V.10,566.159,713.543,,566159.0,713543.0
a. Nguyên giá tài sản cố định,2. Tài sản cố định thuê tài chính > a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,,639.938,849.448,,639938.0,849448.0
b. Khấu hao tài sản cố định,2. Tài sản cố định thuê tài chính > b. Khấu hao tài sản cố định,b. Khấu hao tài sản cố định,,(73.779),(135.905),,-73779.0,-135905.0
XI. Bất động sản đầu tư,XI. Bất động sản đầu tư,XI. Bất động sản đầu tư,,-,-,,,
XII. Tài sản có khác,XI. Bất động sản đầu tư > XII. Tài sản có khác,XII. Tài sản có khác,V.11,5.651.701,9.630.775,,5651701.0,9630775.0
1. Các khoản phải thu,XI. Bất động sản đầu tư > 1. Các khoản phải thu,1. Các khoản phải thu,,2.959.796,8.192.892,,2959796.0,8192892.0
"2. Các khoản lãi, phí phải thu","XI. Bất động sản đầu tư > 2. Các khoản lãi, phí phải thu","2. Các khoản lãi, phí phải thu",,1.188.217,499.530,,1188217.0,499530.0
3. Tài sản thuế TNDN hoãn lại,3. Tài sản thuế TNDN hoãn lại,3. Tài sản thuế TNDN hoãn lại,,-,-,,,
4. Tài sản Có khác,3. Tài sản thuế TNDN hoãn lại > 4. Tài sản Có khác,4. Tài sản Có khác,,3.159.731,2.617.793,,3159731.0,2617793.0
- Trong đó: Lợi thế thương mại,- Trong đó: Lợi thế thương mại,- Trong đó: Lợi thế thương mại,,-,-,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,- Trong đó: Lợi thế thương mại > 5. Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,,(1.656.043),(1.679.440),,-1656043.0,-1679440.0
TỔNG TÀI SẢN,- Trong đó: Lợi thế thương mại > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,163.614.988,118.498.716,,163614988.0,118498716.0
