row_label_raw,row_label_full,Chỉ tiêu,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 - 3 tháng,Trong hạn > Từ 3 - 12 tháng,Trong hạn > Trên 1 năm,Trong hạn > Trên 5 năm,Tổng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 - 3 tháng,numeric__Trong hạn > Từ 3 - 12 tháng,numeric__Trong hạn > Trên 1 năm,numeric__Trong hạn > Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quỷ","Tiền mặt, vàng bạc, đá quỷ","Tiền mặt, vàng bạc, đá quỷ",-,-,226.301,-,-,-,-,226.301,,,226301.0,,,,,226301.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,14.455.160,-,-,-,-,14.455.160,,,14455160.0,,,,,14455160.0
Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,14.348.076,1.300.000,8.660.000,-,-,24.308.076,,,14348076.0,1300000.0,8660000.0,,,24308076.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,1.321,(5.322),18.220,-,-,14.219,,,1321.0,-5322.0,18220.0,,,14219.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),403.323,6.104.000,2.137.821,5.610.601,26.209.344,33.367.170,23.712.334,97.544.593,403323.0,6104000.0,2137821.0,5610601.0,26209344.0,33367170.0,23712334.0,97544593.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,-,161.761,2.310.125,19.173.635,21.645.521,,,,,161761.0,2310125.0,19173635.0,21645521.0
"Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,719.600,719.600,,,,,,,719600.0,719600.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,799.778,799.778,,,,,,,799778.0,799778.0
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*),-,-,748.023,277.453,377.716,155.503,5.749.048,7.307.743,,,748023.0,277453.0,377716.0,155503.0,5749048.0,7307743.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,403.323,6.104.000,31.916.702,7.182.732,35.427.041,35.832.798,50.154.395,167.020.991,403323.0,6104000.0,31916702.0,7182732.0,35427041.0,35832798.0,50154395.0,167020991.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi và vay từ các TCTD khác,Nợ phải trả > Tiền gửi và vay từ các TCTD khác,Tiền gửi và vay từ các TCTD khác,-,-,13.117.073,1.431.547,-,-,-,14.548.620,,,13117073.0,1431547.0,,,,14548620.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,25.207.716,13.971.502,35.615.842,52.608.373,4,127.403.437,,,25207716.0,13971502.0,35615842.0,52608373.0,4.0,127403437.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,7.365,-,-,7.365,,,,,7365.0,,,7365.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,792.970,672.302,1.067.131,2.965.976,712.435,6.210.814,,,792970.0,672302.0,1067131.0,2965976.0,712435.0,6210814.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,777.863,449.556,613.689,10.720,-,1.851.828,,,777863.0,449556.0,613689.0,10720.0,,1851828.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,-,-,39.895.622,16.524.907,37.304.027,55.585.069,712.439,150.022.064,,,39895622.0,16524907.0,37304027.0,55585069.0,712439.0,150022064.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,403.323,6.104.000,(7.978.920),(9.342.175),(1.876.986),(19.752.271),49.441.956,16.998.927,403323.0,6104000.0,-7978920.0,-9342175.0,-1876986.0,-19752271.0,49441956.0,16998927.0
