row_label_raw,row_label_full,col_0,Hoạt động huy động và tín dụng,"Hoạt động kinh doanh, đầu tư chứng khoán",Hoạt động khác,Tổng cộng toàn ngân hàng,numeric__Hoạt động huy động và tín dụng,"numeric__Hoạt động kinh doanh, đầu tư chứng khoán",numeric__Hoạt động khác,numeric__Tổng cộng toàn ngân hàng
Thu nhập,Thu nhập,Thu nhập,8.597.691,2.679.379,633.626,11.910.696,8597691.0,2679379.0,633626.0,11910696.0
Chi phí,Chi phí,Chi phí,7.108.343,2.360.898,396.109,9.865.350,7108343.0,2360898.0,396109.0,9865350.0
Thu nhập thuần,Thu nhập thuần,Thu nhập thuần,1.489.348,318.481,237.517,2.045.346,1489348.0,318481.0,237517.0,2045346.0
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,120.610.837,21.856.992,-,142.467.829,120610837.0,21856992.0,,142467829.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,21.147.159,,,,21147159.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,163.614.988,,,,163614988.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,146.625.137,-,-,146.625.137,146625137.0,,,146625137.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,3.396.927,,,,3396927.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,150.022.064,,,,150022064.0
