row_label_raw,row_label_full,Chỉ tiêu,Quá hạn,Không chịu lãi,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 6 tháng,Từ 6 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 6 tháng,numeric__Từ 6 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,226.301,-,-,-,-,-,-,226.301,,226301.0,,,,,,,226301.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,14.455.160,-,-,-,-,-,14.455.160,,,14455160.0,,,,,,14455160.0
Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,14.348.076,1.300.000,2.000.000,6.660.000,-,-,24.308.076,,,14348076.0,1300000.0,2000000.0,6660000.0,,,24308076.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,1.321,(5.322),-,18.220,-,-,14.219,,,1321.0,-5322.0,,18220.0,,,14219.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),6.507.323,-,16.087.025,50.333.618,1.438.314,6.004.563,15.975.896,1.197.854,97.544.593,6507323.0,,16087025.0,50333618.0,1438314.0,6004563.0,15975896.0,1197854.0,97544593.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,-,-,161.761,2.310.125,19.173.635,21.645.521,,,,,,161761.0,2310125.0,19173635.0,21645521.0
"Gớp vốn, đầu tư dài hạn (*)","Gớp vốn, đầu tư dài hạn (*)","Gớp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,-,719.600,719.600,,,,,,,,719600.0,719600.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,-,799.778,-,-,-,-,-,-,799.778,,799778.0,,,,,,,799778.0
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*),-,4.262.233,930.449,37.772,215.776,10.551,1.850.962,-,7.307.743,,4262233.0,930449.0,37772.0,215776.0,10551.0,1850962.0,,7307743.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,6.507.323,5.288.312,45.822.031,51.666.068,3.654.090,12.855.095,20.136.983,21.091.089,167.020.991,6507323.0,5288312.0,45822031.0,51666068.0,3654090.0,12855095.0,20136983.0,21091089.0,167020991.0
