row_label_raw,row_label_full,5.2 Phân tích dư nợ theo thời gian,5.2 Phân tích dư nợ theo thời gian_1,5.2 Phân tích dư nợ theo thời gian_2,numeric__5.2 Phân tích dư nợ theo thời gian_1,numeric__5.2 Phân tích dư nợ theo thời gian_2
,,,31/12/2025,31/12/2024,,
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,24.157.250,22.385.410,24157250.0,22385410.0
Nợ trung hạn,Nợ trung hạn,Nợ trung hạn,41.214.483,30.409.105,41214483.0,30409105.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,32.172.860,18.380.205,32172860.0,18380205.0
Tổng cộng,Tổng cộng,Tổng cộng,97.544.593,71.174.720,97544593.0,71174720.0
