row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,Phần mềm máy vi tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,609.010,182.706,57.732,849.448,609010.0,182706.0,57732.0,849448.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,-,62.728,-,62.728,,62728.0,,62728.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(192.912),(23.789),-,(216.701),-192912.0,-23789.0,,-216701.0
- Giảm khác,Nguyên giá TSCĐ vô hình > - Giảm khác,- Giảm khác,-,-,(55.537),(55.537),,,-55537.0,-55537.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,416.098,221.645,2.195,639.938,416098.0,221645.0,2195.0,639938.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,78.201,57.704,135.905,,78201.0,57704.0,135905.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,17.170,30,17.200,,17170.0,30.0,17200.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(23.789),-,(23.789),,-23789.0,,-23789.0
- Điều chỉnh khác,Giá trị hao mòn lũy kế > - Điều chỉnh khác,- Điều chỉnh khác,-,6,(55.543),(55.537),,6.0,-55543.0,-55537.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,71.588,2.191,73.779,,71588.0,2191.0,73779.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,609.010,104.505,28,713.543,609010.0,104505.0,28.0,713543.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,416.098,150.057,4,566.159,416098.0,150057.0,4.0,566159.0
,,,,,31/12/2025,31/12/2024,,,,
Nguyên giá tài sản cố định đã khấu hao hết,Giá trị còn lại của TSCĐ vô hình > Nguyên giá tài sản cố định đã khấu hao hết,Nguyên giá tài sản cố định đã khấu hao hết,Nguyên giá tài sản cố định đã khấu hao hết,Nguyên giá tài sản cố định đã khấu hao hết,22.112,97.820,,,22112.0,97820.0
