row_label_raw,row_label_full,5.1 Phân tích chất lượng nợ cho vay,5.1 Phân tích chất lượng nợ cho vay_1,5.1 Phân tích chất lượng nợ cho vay_2,numeric__5.1 Phân tích chất lượng nợ cho vay_1,numeric__5.1 Phân tích chất lượng nợ cho vay_2
,,,31/12/2025,31/12/2024,,
Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,88.446.207,55.935.874,88446207.0,55935874.0
Nợ cần chú ý,Nợ cần chú ý,Nợ cần chú ý,681.442,1.331.532,681442.0,1331532.0
Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,143.208,280.960,143208.0,280960.0
Nợ nghi ngờ,Nợ nghi ngờ,Nợ nghi ngờ,370.313,438.642,370313.0,438642.0
Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,7.903.423,13.187.712,7903423.0,13187712.0
Tổng cộng,Tổng cộng,Tổng cộng,97.544.593,71.174.720,97544593.0,71174720.0
