row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệ vốn góp (%),Giá gốcTriệu VND,Giá trị ghi sốTriệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệ vốn góp (%),numeric__Giá gốcTriệu VND,numeric__Giá trị ghi sốTriệu VND
Công ty Liên doanh Hữu hạn Vietcombank – Bonday,Công ty Liên doanh Hữu hạn Vietcombank – Bonday,Công ty Liên doanh Hữu hạn Vietcombank – Bonday,Cho thuê văn phòng,16%,11.110,10.863,,0.16,11110.0,10863.0
Tại ngày 31 tháng 12 năm 2018:,Tại ngày 31 tháng 12 năm 2018:,Tại ngày 31 tháng 12 năm 2018:,Tại ngày 31 tháng 12 năm 2018:,Tại ngày 31 tháng 12 năm 2018:,Tại ngày 31 tháng 12 năm 2018:,Tại ngày 31 tháng 12 năm 2018:,,,,
,,,Ngành kinh doanh,Tỷ lệ vốn góp (%),Giá gốcTriệu VND,Giá trị ghi sốTriệu VND,,,,
Công ty Liên doanh Hữu hạn Vietcombank – Bonday,Tại ngày 31 tháng 12 năm 2018: > Công ty Liên doanh Hữu hạn Vietcombank – Bonday,Công ty Liên doanh Hữu hạn Vietcombank – Bonday,Cho thuê văn phòng,16%,11.110,10.339,,0.16,11110.0,10339.0
