row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2019 Triệu VND,31/12/2018 Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2019 Triệu VND,numeric__31/12/2018 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,13.778.358,12.792.045,,4.0,13778358.0,12792045.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),5,34.684.091,10.845.701,,5.0,34684091.0,10845701.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,249.470.372,250.228.037,,6.0,249470372.0,250228037.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,190.100.329,187.352.500,,,190100329.0,187352500.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,62.370.043,63.875.537,,,62370043.0,63875537.0
3,A > 3,3,Dự phòng rủi ro,,(3.000.000),(1.000.000),,,-3000000.0,-1000000.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,1.801.126,2.654.806,,7.0,1801126.0,2654806.0
1,A > 1,1,Chứng khoán kinh doanh,,1.889.628,2.725.051,,,1889628.0,2725051.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(88.502),(70.245),,,-88502.0,-70245.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,98.312,275.983,,8.0,98312.0,275983.0
VI,A > VI,VI,Cho vay khách hàng,,724.290.102,621.573.249,,,724290102.0,621573249.0
1,A > 1,1,Cho vay khách hàng,9,734.706.891,631.866.758,,9.0,734706891.0,631866758.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(10.416.789),(10.293.509),,10.0,-10416789.0,-10293509.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,11,167.529.689,149.296.430,,11.0,167529689.0,149296430.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,35.699.090,35.321.259,,,35699090.0,35321259.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,132.271.302,114.251.030,,,132271302.0,114251030.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(440.703),(275.859),,,-440703.0,-275859.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",,2.464.493,2.476.067,,,2464493.0,2476067.0
2,A > 2,2,Vốn góp liên doanh,12(a),940.807,897.308,,,940807.0,897308.0
3,A > 3,3,Đầu tư vào công ty liên kết,12(b),10.863,10.339,,,10863.0,10339.0
4,A > 4,4,Đầu tư dài hạn khác,12(c),1.587.823,1.635.418,,,1587823.0,1635418.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,12(c),(75.000),(66.998),,,-75000.0,-66998.0
X,A > X,X,Tài sản cố định,,6.710.443,6.527.466,,,6710443.0,6527466.0
1,A > 1,1,Tài sản cố định hữu hình,13,4.449.649,4.459.292,,13.0,4449649.0,4459292.0
a,A > a,a,Nguyên giá tài sản cố định,,11.161.239,10.534.068,,,11161239.0,10534068.0
b,A > b,b,Hao mòn tài sản cố định,,(6.711.590),(6.074.776),,,-6711590.0,-6074776.0
3,A > 3,3,Tài sản cố định vô hình,14,2.260.794,2.068.174,,14.0,2260794.0,2068174.0
a,A > a,a,Nguyên giá tài sản cố định,,3.050.669,2.772.517,,,3050669.0,2772517.0
b,A > b,b,Hao mòn tài sản cố định,,(789.875),(704.343),,,-789875.0,-704343.0
XII,A > XII,XII,Tài sản Có khác,,21.891.872,17.356.776,,,21891872.0,17356776.0
1,A > 1,1,Các khoản phải thu,15(a),8.829.375,4.065.268,,,8829375.0,4065268.0
2,A > 2,2,"Các khoản lãi, phí phải thu",15(b),8.150.156,7.409.149,,,8150156.0,7409149.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,15(c),405.543,6.740,,,405543.0,6740.0
4,A > 4,4,Tài sản Có khác,15(d),4.510.592,5.879.141,,,4510592.0,5879141.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,15(d),(3.794),(3.522),,,-3794.0,-3522.0
,,,TỔNG TÀI SẢN CÓ,,1.222.718.858,1.074.026.560,,,1222718858.0,1074026560.0
