row_label_raw,row_label_full,col_0,2019Triệu VND,2018Triệu VND,numeric__2019Triệu VND,numeric__2018Triệu VND
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,
Thu từ dịch vụ thanh toán,Thu nhập từ hoạt động dịch vụ > Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,6.199.194,4.590.636,6199194.0,4590636.0
Thu từ dịch vụ ngân quỹ,Thu nhập từ hoạt động dịch vụ > Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,164.507,245.694,164507.0,245694.0
Thu từ nghiệp vụ ủy thác và đại lý,Thu nhập từ hoạt động dịch vụ > Thu từ nghiệp vụ ủy thác và đại lý,Thu từ nghiệp vụ ủy thác và đại lý,1.278,6.321,1278.0,6321.0
Thu khác,Thu nhập từ hoạt động dịch vụ > Thu khác,Thu khác,2.637.528,2.179.504,2637528.0,2179504.0
,,,9.002.507,7.022.155,9002507.0,7022155.0
Chi phí cho hoạt động dịch vụ,Chi phí cho hoạt động dịch vụ,Chi phí cho hoạt động dịch vụ,Chi phí cho hoạt động dịch vụ,Chi phí cho hoạt động dịch vụ,,
Chi cho dịch vụ thanh toán,Chi phí cho hoạt động dịch vụ > Chi cho dịch vụ thanh toán,Chi cho dịch vụ thanh toán,(3.877.007),(2.907.563),-3877007.0,-2907563.0
Chi cho dịch vụ ngân quỹ,Chi phí cho hoạt động dịch vụ > Chi cho dịch vụ ngân quỹ,Chi cho dịch vụ ngân quỹ,(96.571),(69.372),-96571.0,-69372.0
Chi cho dịch vụ viễn thông,Chi phí cho hoạt động dịch vụ > Chi cho dịch vụ viễn thông,Chi cho dịch vụ viễn thông,(114.680),(100.790),-114680.0,-100790.0
Chi cho nghiệp vụ ủy thác và đại lý,Chi phí cho hoạt động dịch vụ > Chi cho nghiệp vụ ủy thác và đại lý,Chi cho nghiệp vụ ủy thác và đại lý,(3.485),(746),-3485.0,-746.0
Chi khác,Chi phí cho hoạt động dịch vụ > Chi khác,Chi khác,(603.920),(541.192),-603920.0,-541192.0
,,,(4.695.663),(3.619.663),-4695663.0,-3619663.0
,,,4.306.844,3.402.492,4306844.0,3402492.0
