row_label_raw,row_label_full,STT,Chi tiêu,2019Triệu VND,2018Triệu VND,numeric__Chi tiêu,numeric__2019Triệu VND,numeric__2018Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,01,01,Thu nhập lãi và các khoản thu nhập tương tự nhận được,66.956.606,54.473.260,,66956606.0,54473260.0
02,02,02,Chi phí lãi và các chi phí tương tự đã trả,(31.567.168),(27.395.363),,-31567168.0,-27395363.0
03,03,03,Thu nhập thuần từ hoạt động dịch vụ nhận được,4.306.844,3.402.492,,4306844.0,3402492.0
04,04,04,"Chênh lệch số tiền thực thu và thực chi từ hoạt động kinh doanh ngoại tệ, vàng bạc, chứng khoán",3.068.655,3.203.390,,3068655.0,3203390.0
05,05,05,Chi phí khác đã trả,(115.005),(42.957),,-115005.0,-42957.0
06,06,06,"Tiền thu từ các khoản nợ đã được xử lý, bù đắp bằng nguồn rủi ro",3.179.526,3.272.247,,3179526.0,3272247.0
07,07,07,"Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",(14.532.712),(12.787.284),,-14532712.0,-12787284.0
08,08,08,Tiền thuế thu nhập doanh nghiệp thực nộp trong năm,(4.827.328),(2.585.774),,-4827328.0,-2585774.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và nợ hoạt động,26.469.418,21.540.011,,26469418.0,21540011.0
,,,(Tăng)/giảm về tài sản hoạt động,(Tăng)/giảm về tài sản hoạt động,(Tăng)/giảm về tài sản hoạt động,,,
09,09,09,Các khoản tiền gửi và cho vay các tổ chức tín dụng khác,2.189.341,2.306.008,,2189341.0,2306008.0
10,10,10,Các khoản về kinh doanh chứng khoán,(17.562.680),(14.454.777),,-17562680.0,-14454777.0
11,11,11,Các công cụ tài chính phải sinh và các tài sản tài chính khác,177.671,556.371,,177671.0,556371.0
12,12,12,Các khoản cho vay khách hàng,(102.840.133),(88.432.298),,-102840133.0,-88432298.0
13,13,13,Giảm nguồn dự phòng để bù đắp tồn thất các khoản cho vay,(4.502.397),(4.083.722),,-4502397.0,-4083722.0
14,14,14,Tài sản hoạt động khác,(3.354.149),(2.666.699),,-3354149.0,-2666699.0
,,,Tăng/(giảm) về nợ hoạt động,Tăng/(giảm) về nợ hoạt động,Tăng/(giảm) về nợ hoạt động,,,
15,15,15,Các khoản nợ Chính phủ và NHNN,1.680.491,(80.699.753),,1680491.0,-80699753.0
16,16,16,Các khoản tiền gửi và vay các tổ chức tín dụng khác,(2.906.994),9.581.876,,-2906994.0,9581876.0
17,17,17,Các khoản tiền gửi của khách hàng,126.521.754,93.409.398,,126521754.0,93409398.0
18,18,18,Các khoản phát hành giấy tờ có giá,(77.572),3.246.793,,-77572.0,3246793.0
19,19,19,"Các khoản vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",(5.372),2.650,,-5372.0,2650.0
21,21,21,Công nợ hoạt động khác,720.675,824.980,,720675.0,824980.0
22,22,22,Chi từ các quỹ của tổ chức tín dụng,(1.434.221),(1.365.175),,-1434221.0,-1365175.0
I,I,I,Lưu chuyển tiền thuần từ hoạt động kinh doanh,25.075.832,(60.234.337),,25075832.0,-60234337.0
