row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phươngtiện vận tải,truyền đầnTriệu VND",Tài sâncó định hữuhình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phươngtiện vận tải,truyền đầnTriệu VND",numeric__Tài sâncó định hữuhình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.342.436,3.986.076,882.033,1.323.523,10.534.068,4342436.0,3986076.0,882033.0,1323523.0,10534068.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,199.053,234.813,130.325,203.575,767.766,199053.0,234813.0,130325.0,203575.0,767766.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,192.190,229.427,123.163,178.672,723.452,192190.0,229427.0,123163.0,178672.0,723452.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,6.863,5.386,7.162,24.903,44.314,6863.0,5386.0,7162.0,24903.0,44314.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(13.851),(68.811),(25.718),(32.215),(140.595),-13851.0,-68811.0,-25718.0,-32215.0,-140595.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(13.851),(40.015),(25.690),(19.133),(98.689),-13851.0,-40015.0,-25690.0,-19133.0,-98689.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,-,(28.796),(28),(13.082),(41.906),,-28796.0,-28.0,-13082.0,-41906.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.527.638,4.152.078,986.640,1.494.883,11.161.239,4527638.0,4152078.0,986640.0,1494883.0,11161239.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.119.209,3.453.910,608.271,893.386,6.074.776,1119209.0,3453910.0,608271.0,893386.0,6074776.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,205.415,297.156,85.965,176.286,764.822,205415.0,297156.0,85965.0,176286.0,764822.0
- Khấu hao,Hao mòn lũy kế > - Khấu hao,- Khấu hao,205.415,296.590,85.595,155.163,742.763,205415.0,296590.0,85595.0,155163.0,742763.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,-,566,370,21.123,22.059,,566.0,370.0,21123.0,22059.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(13.452),(67.715),(26.643),(20.198),(128.008),-13452.0,-67715.0,-26643.0,-20198.0,-128008.0
"- Thanh lý, nhượng bán","Hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(8.958),(39.926),(25.690),(19.031),(93.605),-8958.0,-39926.0,-25690.0,-19031.0,-93605.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,(4.494),(27.789),(953),(1.167),(34.403),-4494.0,-27789.0,-953.0,-1167.0,-34403.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.311.172,3.683.351,667.593,1.049.474,6.711.590,1311172.0,3683351.0,667593.0,1049474.0,6711590.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.223.227,532.166,273.762,430.137,4.459.292,3223227.0,532166.0,273762.0,430137.0,4459292.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.216.466,468.727,319.047,445.409,4.449.649,3216466.0,468727.0,319047.0,445409.0,4449649.0
