row_label_raw,row_label_full,col_0,col_1,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
,,,,Trên3 tháng,Đến 3 tháng,Đến 1 tháng,Từ trên1 tháng đến3 tháng,Từ trên3 tháng đến12 tháng,Từ trên1 năm đến5 năm,Trên 5 năm,Tổng cộng,,,,,,,,,
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
,,,Tài sản,,,,,,,,,,,,,,,,,
I,I,I,"Tiền mặt, vàng bạc, đá quý",-,-,13.778.358,-,-,-,-,13.778.358,,,,13778358.0,,,,,13778358.0
II,II,II,Tiền gửi tại Ngân hàng Nhà nước,-,-,34.684.091,-,-,-,-,34.684.091,,,,34684091.0,,,,,34684091.0
III,III,III,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,-,-,166.767.334,63.512.600,19.266.137,2.702.961,221.340,252.470.372,,,,166767334.0,63512600.0,19266137.0,2702961.0,221340.0,252470372.0
IV,IV,IV,Chứng khoán kinh doanh – gộp,-,-,1.889.628,-,-,-,-,1.889.628,,,,1889628.0,,,,,1889628.0
V,V,V,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,-,-,98.312,-,-,-,98.312,,,,,98312.0,,,,98312.0
VI,VI,VI,Cho vay khách hàng – gộp,1.513.875,11.936.768,49.674.140,152.176.894,212.894.486,117.088.777,189.421.951,734.706.891,,1513875.0,11936768.0,49674140.0,152176894.0,212894486.0,117088777.0,189421951.0,734706891.0
VII,VII,VII,Chứng khoán đầu tư – gộp,-,-,1.993.631,8.937.296,34.737.239,88.774.014,33.528.212,167.970.392,,,,1993631.0,8937296.0,34737239.0,88774014.0,33528212.0,167970392.0
VIII,VIII,VIII,"Gộp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,2.539.493,2.539.493,,,,,,,,2539493.0,2539493.0
IX,IX,IX,Tài sản cố định,-,-,-,-,-,-,6.710.443,6.710.443,,,,,,,,6710443.0,6710443.0
X,X,X,Tài sản Có khác – gộp,-,-,-,21.895.666,-,-,-,21.895.666,,,,,21895666.0,,,,21895666.0
,,,Tổng tài sản,1.513.875,11.936.768,268.787.182,246.620.768,266.897.862,208.565.752,232.421.439,1.236.743.646,,1513875.0,11936768.0,268787182.0,246620768.0,266897862.0,208565752.0,232421439.0,1236743646.0
,,,Nợ phải trả,,,,,,,,,,,,,,,,,
I,I,I,Các khoản nợ Chính phủ và NHNNvà tiền gửi và vay các TCTD khác,-,-,110.814.696,38.692.742,12.798.639,3.428.054,248.760,165.982.891,,,,110814696.0,38692742.0,12798639.0,3428054.0,248760.0,165982891.0
II,II,II,Tiền gửi của khách hàng,-,-,249.661.404,170.000.193,281.320.845,44.839.964,182.628.463,928.450.869,,,,249661404.0,170000193.0,281320845.0,44839964.0,182628463.0,928450869.0
IV,IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vaymà TCTD chịu rủi ro",-,-,148,-,-,20.283,-,20.431,,,,148.0,,,20283.0,,20431.0
V,V,V,Phát hành giấy tờ có giá,-,-,184.106,-,-,10.373.400,10.826.426,21.383.932,,,,184106.0,,,10373400.0,10826426.0,21383932.0
VI,VI,VI,Các khoản nợ phải trả khác,-,-,-,24.994.597,-,-,1.003.156,25.997.753,,,,,24994597.0,,,1003156.0,25997753.0
,,,Tổng nợ phải trả,-,-,360.660.354,233.687.532,294.119.484,58.661.701,194.706.805,1.141.835.876,,,,360660354.0,233687532.0,294119484.0,58661701.0,194706805.0,1141835876.0
,,,Mức chênh thanh khoản ròng,1.513.875,11.936.768,(91.873.172),12.933.236,(27.221.622),149.904.051,37.714.634,94.907.770,,1513875.0,11936768.0,-91873172.0,12933236.0,-27221622.0,149904051.0,37714634.0,94907770.0
