row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2019Triệu VND,31/12/2018Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2019Triệu VND,numeric__31/12/2018Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,16,92.365.806,90.685.315,,16.0,92365806.0,90685315.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,73.617.085,76.524.079,,17.0,73617085.0,76524079.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,71.046.512,75.245.679,,,71046512.0,75245679.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,2.570.573,1.278.400,,,2570573.0,1278400.0
III,B > III,III,Tiền gửi của khách hàng,18,928.450.869,801.929.115,,18.0,928450869.0,801929115.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,20.431,25.803,,19.0,20431.0,25803.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,21.383.932,21.461.132,,20.0,21383932.0,21461132.0
VII,B > VII,VII,Các khoản nợ khác,,25.997.753,21.221.737,,,25997753.0,21221737.0
1,B > 1,1,"Các khoản lãi, phí phải trả",21(a),10.382.357,8.717.540,,,10382357.0,8717540.0
2,B > 2,2,Thuế thu nhập doanh nghiệp hoãn lại phải trả,,22.023,19.295,,,22023.0,19295.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21(b),15.593.373,12.484.902,,,15593373.0,12484902.0
,,,TỔNG NỘ PHẢI TRẢ,,1.141.835.876,1.011.847.181,,,1141835876.0,1011847181.0
VIII,VIII,VIII,Vốn chủ sở hữu,,,,,,,
1,VIII > 1,1,Vốn của tổ chức tín dụng,,42.428.820,36.322.343,,,42428820.0,36322343.0
a,VIII > a,a,Vốn điều lệ,,37.088.774,35.977.686,,,37088774.0,35977686.0
c,VIII > c,c,Thặng dư vốn cổ phần,,4.995.389,-,,,4995389.0,
g,VIII > g,g,Vốn khác,,344.657,344.657,,,344657.0,344657.0
2,VIII > 2,2,Quỹ của tổ chức tín dụng,,12.186.141,9.445.732,,,12186141.0,9445732.0
3,VIII > 3,3,Chênh lệch tỷ giá hối đoái,,16.361,84.450,,,16361.0,84450.0
4,VIII > 4,4,Chênh lệch đánh giá lại tài sản,,113.011,119.178,,,113011.0,119178.0
5,VIII > 5,5,Lợi nhuận chưa phân phối,,26.055.190,16.138.687,,,26055190.0,16138687.0
a,VIII > a,a,Lợi nhuận để lại năm trước,,12.188.554,5.383.568,,,12188554.0,5383568.0
b,VIII > b,b,Lợi nhuận để lại năm nay,,13.866.636,10.755.119,,,13866636.0,10755119.0
6,VIII > 6,6,Lợi ích của cổ đông không kiểm soát,,83.459,68.989,,,83459.0,68989.0
,,,TỔNG VỐN CHỦ SỞ HỮU,22(a),80.882.982,62.179.379,,,80882982.0,62179379.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.222.718.858,1.074.026.560,,,1222718858.0,1074026560.0
