row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Tổng cộng,numeric__Chưa quá hạn và chưa bị giảm giá Triệu VND,numeric__Đã quá hạn nhưng chưa bị giảm giá Triệu VND,numeric__Đã bị giảm giá và trích lập dự phòng Triệu VND,numeric__Tổng cộng
,,,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Triệu VND,,,,
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,34.684.091,-,-,34.684.091,34684091.0,,,34684091.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,249.470.372,-,3.000.000,252.470.372,249470372.0,,3000000.0,252470372.0
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,190.100.329,-,-,190.100.329,190100329.0,,,190100329.0
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,59.370.043,-,3.000.000,62.370.043,59370043.0,,3000000.0,62370043.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,1.538.592,-,-,1.538.592,1538592.0,,,1538592.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,720.768.201,5.574.225,8.364.465,734.706.891,720768201.0,5574225.0,8364465.0,734706891.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,167.962.202,-,-,167.962.202,167962202.0,,,167962202.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,35.690.900,-,-,35.690.900,35690900.0,,,35690900.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,132.271.302,-,-,132.271.302,132271302.0,,,132271302.0
Tài sân Có khác,Tài sân Có khác,Tài sân Có khác,15.943.148,-,-,15.943.148,15943148.0,,,15943148.0
,,,1.190.366.606,5.574.225,11.364.465,1.207.305.296,1190366606.0,5574225.0,11364465.0,1207305296.0
