row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệ vốn góp(%),Giá gốcTriệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệ vốn góp(%),numeric__Giá gốcTriệu VND
Ngân hàng TMCP Xuất – Nhập khẩu Việt Nam,Ngân hàng TMCP Xuất – Nhập khẩu Việt Nam,Ngân hàng TMCP Xuất – Nhập khẩu Việt Nam,Ngân hàng,"4,50%",319.907,,0.045,319907.0
Ngân hàng TMCP Quân Đội Quỹ bảo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Ngân hàng TMCP Quân Đội Quỹ bảo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Ngân hàng TMCP Quân Đội Quỹ bảo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Ngân hàng,"4,42%",802.269,,0.044199999999999996,802269.0
Ngân hàng TMCP Quân Đội Quỹ bảo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Ngân hàng TMCP Quân Đội Quỹ bảo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Ngân hàng TMCP Quân Đội Quỹ bảo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Bảo lãnh tín dụng,"0,80%",1.864,,0.008,1864.0
Công ty Cổ phần Bảo hiểm Petrolimex Công ty Cổ phần Thông tin tín dụng Việt Nam (PCB),Công ty Cổ phần Bảo hiểm Petrolimex Công ty Cổ phần Thông tin tín dụng Việt Nam (PCB),Công ty Cổ phần Bảo hiểm Petrolimex Công ty Cổ phần Thông tin tín dụng Việt Nam (PCB),Bảo hiểm Dịch vụ thông tin tín dụng,"8,03%",67.900,,0.0803,67900.0
Công ty Cổ phần Bảo hiểm Petrolimex Công ty Cổ phần Thông tin tín dụng Việt Nam (PCB),Công ty Cổ phần Bảo hiểm Petrolimex Công ty Cổ phần Thông tin tín dụng Việt Nam (PCB),Công ty Cổ phần Bảo hiểm Petrolimex Công ty Cổ phần Thông tin tín dụng Việt Nam (PCB),Bảo hiểm Dịch vụ thông tin tín dụng,"6,64%",7.962,,0.0664,7962.0
Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Đầu tư đường cao tốc,"1,97%",75.000,,0.0197,75000.0
Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Dịch vụ thẻ,"1,83%",4.400,,0.0183,4400.0
"Tổng Công ty Hàng không Việt Nam SWIFT, MASTER và VISA","Tổng Công ty Hàng không Việt Nam SWIFT, MASTER và VISA","Tổng Công ty Hàng không Việt Nam SWIFT, MASTER và VISA","Hàng không Dịch vụ thẻ, thanh toán","1,04%",305.585,,0.0104,305585.0
"Tổng Công ty Hàng không Việt Nam SWIFT, MASTER và VISA","Tổng Công ty Hàng không Việt Nam SWIFT, MASTER và VISA","Tổng Công ty Hàng không Việt Nam SWIFT, MASTER và VISA","Hàng không Dịch vụ thẻ, thanh toán",-,2.936,,,2936.0
,,,,,1.587.823,,,1587823.0
Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,(75.000),,,-75000.0
,,,,,1.512.823,,,1512823.0
