row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệ vốn góp(%),Giá gốcTriệu VND,Giá trị ghi sốTriệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệ vốn góp(%),numeric__Giá gốcTriệu VND,numeric__Giá trị ghi sốTriệu VND
Công ty Liên doanh TNHHVietcombank – Bonday – Bến Thành (i),Công ty Liên doanh TNHHVietcombank – Bonday – Bến Thành (i),Công ty Liên doanh TNHHVietcombank – Bonday – Bến Thành (i),Cho thuêvăn phòng,52%,410.365,492.807,,0.52,410365.0,492807.0
Công ty Liên doanh Quản lý Quỹ đầu tưChứng khoán Vietcombank (i),Công ty Liên doanh Quản lý Quỹ đầu tưChứng khoán Vietcombank (i),Công ty Liên doanh Quản lý Quỹ đầu tưChứng khoán Vietcombank (i),Quản lý quỹđầu tư,51%,135.150,145.031,,0.51,135150.0,145031.0
Công ty TNHH Bảo hiểm Nhân thọVietcombank – Cardif (ii),Công ty TNHH Bảo hiểm Nhân thọVietcombank – Cardif (ii),Công ty TNHH Bảo hiểm Nhân thọVietcombank – Cardif (ii),Bảo hiểmnhân thọ,45%,270.000,259.470,,0.45,270000.0,259470.0
,,,,,815.515,897.308,,,815515.0,897308.0
