row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2019:,Năm kết thúc ngày 31 tháng 12 năm 2019:_1,Dịch vụ tài chính ngân hàng Triệu VND,Dịch vụ tài chính phi ngân hàng Triệu VND,Chứng khoán Triệu VND,Khác Triệu VND,Loại trừ Triệu VND,Tổng cộng Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2019:_1,numeric__Dịch vụ tài chính ngân hàng Triệu VND,numeric__Dịch vụ tài chính phi ngân hàng Triệu VND,numeric__Chứng khoán Triệu VND,numeric__Khác Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng cộng Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,156.994.074,481.737,225.558,20.076,(89.997.255),67.724.190,,156994074.0,481737.0,225558.0,20076.0,-89997255.0,67724190.0
2,2,2,Chi phí lãi và các chi phí tương tự,(122.800.545),(256.493),(88.668),(10.657),90.009.523,(33.146.840),,-122800545.0,-256493.0,-88668.0,-10657.0,90009523.0,-33146840.0
I,I,I,Thu nhập lãi thuần,34.193.529,225.244,136.890,9.419,12.268,34.577.350,,34193529.0,225244.0,136890.0,9419.0,12268.0,34577350.0
3,3,3,Thu nhập từ hoạt động dịch vụ,8.748.238,33.161,189.637,194.373,(162.902),9.002.507,,8748238.0,33161.0,189637.0,194373.0,-162902.0,9002507.0
4,4,4,Chi phí hoạt động dịch vụ,(4.613.979),(971),(39.584),(82.545),41.416,(4.695.663),,-4613979.0,-971.0,-39584.0,-82545.0,41416.0,-4695663.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,4.134.259,32.190,150.053,111.828,(121.486),4.306.844,,4134259.0,32190.0,150053.0,111828.0,-121486.0,4306844.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,3.378.187,87,-,-,-,3.378.274,,3378187.0,87.0,,,,3378274.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,123.062,-,35.188,-,(12.268),145.982,,123062.0,,35188.0,,-12268.0,145982.0
IV,IV,IV,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,7.219,-,(179),-,-,7.040,,7219.0,,-179.0,,,7040.0
5,5,5,Thu nhập từ hoạt động khác,3.423.239,3.304,893,329,-,3.427.765,,3423239.0,3304.0,893.0,329.0,,3427765.0
6,6,6,Chi phí hoạt động khác,(357.891),(53),(26),-,-,(357.970),,-357891.0,-53.0,-26.0,,,-357970.0
VI,VI,VI,Lãi thuần từ hoạt động khác,3.065.348,3.251,867,329,-,3.069.795,,3065348.0,3251.0,867.0,329.0,,3069795.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",225.604,-,19.492,-,-,245.096,,225604.0,,19492.0,,,245096.0
,,,Tổng thu nhập hoạt động,45.127.208,260.772,342.311,121.576,(121.486),45.730.381,,45127208.0,260772.0,342311.0,121576.0,-121486.0,45730381.0
VIII,VIII,VIII,Chi phí hoạt động,(15.571.930),(113.760),(173.904),(53.987),96.006,(15.817.575),,-15571930.0,-113760.0,-173904.0,-53987.0,96006.0,-15817575.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,29.555.278,147.012,168.407,67.589,(25.480),29.912.806,,29555278.0,147012.0,168407.0,67589.0,-25480.0,29912806.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,(6.752.585),(37.844),-,-,-,(6.790.429),,-6752585.0,-37844.0,,,,-6790429.0
XI,XI,XI,Tổng lợi nhuận trước thuế,22.802.693,109.168,168.407,67.589,(25.480),23.122.377,,22802693.0,109168.0,168407.0,67589.0,-25480.0,23122377.0
7,7,7,Chi phí thuế TNDN hiện hành,(4.924.300),(20.729),(35.226),(12.209),-,(4.992.464),,-4924300.0,-20729.0,-35226.0,-12209.0,,-4992464.0
8,8,8,Chi phí thuế TNDN hoãn lại,400.000,(2.728),(1.197),-,-,396.075,,400000.0,-2728.0,-1197.0,,,396075.0
XII,XII,XII,Chi phí thuế TNDN,(4.524.300),(23.457),(36.423),(12.209),-,(4.596.389),,-4524300.0,-23457.0,-36423.0,-12209.0,,-4596389.0
XIII,XIII,XIII,Lợi nhuận sau thuế,18.278.393,85.711,131.984,55.380,(25.480),18.525.988,,18278393.0,85711.0,131984.0,55380.0,-25480.0,18525988.0
