row_label_raw,row_label_full,col_0,Phàn mềm máy tínhVND,numeric__Phàn mềm máy tínhVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,5.706.839.487,5706839487.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,1.000.545.454,1000545454.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.707.384.941,6707384941.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,5.706.839.487,5706839487.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,246.724.747,246724747.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,5.953.564.234,5953564234.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,-,
Tại ngày cuối năm,Tại ngày đầu năm > Tại ngày cuối năm,Tại ngày cuối năm,753.820.707,753820707.0
