row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
Tiền mặt,Tiền mặt,Tiền mặt,461.853.056,769.036.375,461853056.0,769036375.0
- Văn phòng Tổng Công ty,- Văn phòng Tổng Công ty,- Văn phòng Tổng Công ty,199.726.381,426.693.100,199726381.0,426693100.0
- Chi nhánh PSM,- Chi nhánh PSM,- Chi nhánh PSM,204.824.994,256.270.713,204824994.0,256270713.0
- Chi nhánh OFS,- Chi nhánh OFS,- Chi nhánh OFS,57.301.681,86.072.562,57301681.0,86072562.0
Tiền gửi ngân hàng không kỳ hạn,Tiền gửi ngân hàng không kỳ hạn,Tiền gửi ngân hàng không kỳ hạn,92.387.961.843,59.184.391.842,92387961843.0,59184391842.0
- Văn phòng Tổng Công ty,- Văn phòng Tổng Công ty,- Văn phòng Tổng Công ty,69.678.822.413,36.289.905.567,69678822413.0,36289905567.0
- Chi nhánh PSM,- Chi nhánh PSM,- Chi nhánh PSM,4.097.329.650,13.047.418.314,4097329650.0,13047418314.0
- Chi nhánh OFS,- Chi nhánh OFS,- Chi nhánh OFS,18.611.809.780,9.847.067.961,18611809780.0,9847067961.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,235.800.000.000,542.000.000.000,235800000000.0,542000000000.0
- Văn phòng Tổng Công ty,- Văn phòng Tổng Công ty,- Văn phòng Tổng Công ty,91.300.000.000,390.000.000.000,91300000000.0,390000000000.0
- Chi nhánh PSM,- Chi nhánh PSM,- Chi nhánh PSM,40.000.000.000,60.000.000.000,40000000000.0,60000000000.0
- Chi nhánh OFS,- Chi nhánh OFS,- Chi nhánh OFS,104.500.000.000,92.000.000.000,104500000000.0,92000000000.0
,,,328.649.814.899,601.953.428.217,328649814899.0,601953428217.0
