row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,2.745.069.365.024,2.946.844.756.008,,100.0,,2745069365024.0,2946844756008.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,328.649.814.899,601.953.428.217,,110.0,4.0,328649814899.0,601953428217.0
1.,1.,1.,Tiền,111,,92.849.814.899,59.953.428.217,,111.0,,92849814899.0,59953428217.0
2.,2.,2.,Các khoản tương đương tiền,112,,235.800.000.000,542.000.000.000,,112.0,,235800000000.0,542000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,1.746.300.000.000,1.665.300.000.000,,120.0,,1746300000000.0,1665300000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,5,1.746.300.000.000,1.665.300.000.000,,123.0,5.0,1746300000000.0,1665300000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,586.575.118.852,599.740.221.185,,130.0,,586575118852.0,599740221185.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,488.590.942.264,486.439.867.862,,131.0,6.0,488590942264.0,486439867862.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,,279.443.770,1.441.563.547,,132.0,,279443770.0,1441563547.0
3.,3.,3.,Phải thu ngắn hạn khác,136,7,97.704.732.818,114.941.336.273,,136.0,7.0,97704732818.0,114941336273.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,,-,(3.082.546.497),,137.0,,,-3082546497.0
IV.,IV.,IV.,Hàng tồn kho,140,,53.707.932.956,65.186.247.626,,140.0,,53707932956.0,65186247626.0
1.,1.,1.,Hàng tồn kho,141,8,53.707.932.956,65.186.247.626,,141.0,8.0,53707932956.0,65186247626.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,29.836.498.317,14.664.858.980,,150.0,,29836498317.0,14664858980.0
1.,1.,1.,Chỉ phí trả trước ngắn hạn,151,9,17.328.491.136,14.664.858.980,,151.0,9.0,17328491136.0,14664858980.0
2.,2.,2.,Thuế và các khoản khác phải thu Nhà nước,153,10,12.508.007.181,-,,153.0,10.0,12508007181.0,
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,6.186.375.512.445,4.392.105.590.826,,200.0,,6186375512445.0,4392105590826.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,10.872.202.730,107.981.459.728,,210.0,,10872202730.0,107981459728.0
1.,1.,1.,Phải thu dài hạn khác,216,7,10.872.202.730,107.981.459.728,,216.0,7.0,10872202730.0,107981459728.0
II.,II.,II.,Tài sản cố định,220,,3.620.865.973.486,1.902.825.758.588,,220.0,,3620865973486.0,1902825758588.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,3.620.112.152.779,1.902.825.758.588,,221.0,11.0,3620112152779.0,1902825758588.0
,,,- Nguyên giá,222,,4.983.242.981.750,2.988.026.703.026,,222.0,,4983242981750.0,2988026703026.0
,,,- Giá trị hao mòn lũy kế,223,,(1.363.130.828.971),(1.085.200.944.438),,223.0,,-1363130828971.0,-1085200944438.0
2.,2.,2.,Tài sản cố định vô hình,227,12,753.820.707,-,,227.0,12.0,753820707.0,
,,,- Nguyên giá,228,,6.707.384.941,5.706.839.487,,228.0,,6707384941.0,5706839487.0
,,,- Giá trị hao mòn lũy kế,229,,(5.953.564.234),(5.706.839.487),,229.0,,-5953564234.0,-5706839487.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,660.800.000,16.007.526.686,,240.0,,660800000.0,16007526686.0
1.,1.,1.,Chỉ phí xây dựng cơ bản dở dang,242,,660.800.000,16.007.526.686,,242.0,,660800000.0,16007526686.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,13,2.415.096.951.736,2.304.465.531.725,,250.0,13.0,2415096951736.0,2304465531725.0
1.,1.,1.,Đầu tư vào công ty con,251,,2.284.152.812.414,2.221.549.949.850,,251.0,,2284152812414.0,2221549949850.0
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,,97.000.000.000,97.000.000.000,,252.0,,97000000000.0,97000000000.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,45.937.767.300,45.937.767.300,,253.0,,45937767300.0,45937767300.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(11.993.627.978),(60.022.185.425),,254.0,,-11993627978.0,-60022185425.0
V.,V.,V.,Tài sản dài hạn khác,260,,138.879.584.493,60.825.314.099,,260.0,,138879584493.0,60825314099.0
1.,1.,1.,Chỉ phí trả trước dài hạn,261,9,126.090.730.333,17.814.162.989,,261.0,9.0,126090730333.0,17814162989.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,14,12.788.854.160,43.011.151.110,,262.0,14.0,12788854160.0,43011151110.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,8.931.444.877.469,7.338.950.346.834,,270.0,,8931444877469.0,7338950346834.0
