row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối nămVND,Giá trị ghi số > Số đầu nămVND,numeric__Giá trị ghi số > Số cuối nămVND,numeric__Giá trị ghi số > Số đầu nămVND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,328.649.814.899,601.953.428.217,328649814899.0,601953428217.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,596.258.519.530,705.490.639.503,596258519530.0,705490639503.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.792.237.767.300,1.711.237.767.300,1792237767300.0,1711237767300.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,2.717.146.101.729,3.018.681.835.020,2717146101729.0,3018681835020.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,2.115.616.965.673,936.725.713.933,2115616965673.0,936725713933.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,704.113.969.199,854.319.034.773,704113969199.0,854319034773.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,37.613.732.330,153.302.687.529,37613732330.0,153302687529.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,2.857.344.667.202,1.944.347.436.235,2857344667202.0,1944347436235.0
