row_label_raw,row_label_full,col_0,Phương tiện vận tải,Thiết bị văn phòng,Tổng,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tổng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.969.053.354.689,18.973.348.337,2.988.026.703.026,2969053354689.0,18973348337.0,2988026703026.0
Mua mới trong năm,NGUYÊN GIÁ > Mua mới trong năm,Mua mới trong năm,1.975.856.612.892,4.666.002.346,1.980.522.615.238,1975856612892.0,4666002346.0,1980522615238.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,16.007.526.686,-,16.007.526.686,16007526686.0,,16007526686.0
Điều chỉnh khác,NGUYÊN GIÁ > Điều chỉnh khác,Điều chỉnh khác,-,(1.313.863.200),(1.313.863.200),,-1313863200.0,-1313863200.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,4.960.917.494.267,22.325.487.483,4.983.242.981.750,4960917494267.0,22325487483.0,4983242981750.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.068.547.696.959,16.653.247.479,1.085.200.944.438,1068547696959.0,16653247479.0,1085200944438.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,276.405.089.929,2.838.657.804,279.243.747.733,276405089929.0,2838657804.0,279243747733.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(130.078.385),130.078.385,-,-130078385.0,130078385.0,
Điều chỉnh khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Điều chỉnh khác,Điều chỉnh khác,-,(1.313.863.200),(1.313.863.200),,-1313863200.0,-1313863200.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.344.822.708.503,18.308.120.468,1.363.130.828.971,1344822708503.0,18308120468.0,1363130828971.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.900.505.657.730,2.320.100.858,1.902.825.758.588,1900505657730.0,2320100858.0,1902825758588.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,3.616.094.785.764,4.017.367.015,3.620.112.152.779,3616094785764.0,4017367015.0,3620112152779.0
